timestamp,__name__,value
1648799988,lag,NaN
1648800003,lag,3494523
1648800018,lag,4753221
1648800033,lag,5274432
1648800048,lag,5560488
1648800063,lag,5788413
1648800078,lag,5787555
1648800093,lag,5787555
1648800108,lag,4943664
1648800123,lag,4683816
1648800138,lag,4100601
1648800153,lag,3840759
1648800168,lag,3077694
1648800183,lag,2815626
1648800198,lag,1622847
1648800213,lag,NaN
1648800228,lag,3558230
1648800243,lag,4424338
1648800258,lag,4488938
1648800273,lag,NaN
1648800288,lag,NaN
1648800303,lag,8328097
1648800318,lag,8643715
1648800333,lag,8646969
1648800348,lag,8479525
1648800363,lag,8456701
1648800378,lag,6955682
1648800393,lag,6765595
1648800408,lag,3239565
1648800423,lag,3239565
1648800438,lag,99082
1648800453,lag,96942
1648800468,lag,22026
1648800483,lag,24586
1648800498,lag,26770
1648800513,lag,26831
1648800528,lag,22671
1648800543,lag,22379
1648800558,lag,18279
1648800573,lag,21361
1648800588,lag,17373
1648800603,lag,19314
1648800618,lag,17443
1648800633,lag,17953
1648800648,lag,14422
1648800663,lag,14686
1648800678,lag,11043
1648800693,lag,12709
1648800708,lag,12518
1648800723,lag,13807
1648800738,lag,9476
1648800753,lag,12461
1648800768,lag,384895
1648800783,lag,619943
1648800798,lag,619943
1648800813,lag,619943
1648800828,lag,257576
1648800843,lag,19838
1648800858,lag,396057
1648800873,lag,681028
1648800888,lag,681028
1648800903,lag,681028
1648800918,lag,318210
1648800933,lag,16340
1648800948,lag,162479
1648800963,lag,932886
1648800978,lag,932886
1648800993,lag,932886
1648801008,lag,932886
1648801023,lag,13343
1648801038,lag,14938
1648801053,lag,13069
1648801068,lag,14175
1648801083,lag,10969
1648801098,lag,11104
1648801113,lag,8986
1648801128,lag,9900
1648801143,lag,10354
1648801158,lag,12388
1648801173,lag,13390
1648801188,lag,NaN
1648801203,lag,962058
1648801218,lag,962058
1648801233,lag,962058
1648801248,lag,457164
1648801263,lag,1307697
1648801278,lag,1307697
1648801293,lag,1307697
1648801308,lag,1307697
1648801323,lag,12231
1648801338,lag,16240
1648801353,lag,209553
1648801368,lag,857580
1648801383,lag,857580
1648801398,lag,857580
1648801413,lag,653148
1648801428,lag,19875
1648801443,lag,18816
1648801458,lag,15261
1648801473,lag,20688
1648801488,lag,16968
1648801503,lag,17514
1648801518,lag,13302
1648801533,lag,18198
1648801548,lag,15828
1648801563,lag,15924
1648801578,lag,11274
1648801593,lag,14691
1648801608,lag,13665
1648801623,lag,15255
1648801638,lag,16527
1648801653,lag,7722
1648801668,lag,628656
1648801683,lag,628656
1648801698,lag,628656
1648801713,lag,628656
1648801728,lag,35716
1648801743,lag,795070
1648801758,lag,795070
1648801773,lag,795070
1648801788,lag,795070
1648801803,lag,35832
1648801818,lag,38187
1648801833,lag,35617
1648801848,lag,34537
1648801863,lag,29043
1648801878,lag,33975
1648801893,lag,32192
1648801908,lag,34117
1648801923,lag,28027
1648801938,lag,29577
1648801953,lag,29226
1648801968,lag,29821
1648801983,lag,31192
1648801998,lag,30162
1648802013,lag,24562
1648802028,lag,25542
1648802043,lag,25637
1648802058,lag,25682
1648802073,lag,30442
1648802088,lag,36829
1648802103,lag,34520
1648802118,lag,36640
1648802133,lag,33602
1648802148,lag,35004
1648802163,lag,43264
1648802178,lag,45543
1648802193,lag,42348
1648802208,lag,47188
1648802223,lag,46728
1648802238,lag,45418
1648802253,lag,39753
1648802268,lag,44823
1648802283,lag,45912
1648802298,lag,50307
1648802313,lag,144512
1648802328,lag,691548
1648802343,lag,NaN
1648802358,lag,1254697
1648802373,lag,2005048
1648802388,lag,2051718
1648802403,lag,2051718
1648802418,lag,2049473
1648802433,lag,1197139
1648802448,lag,682747
1648802463,lag,539412
1648802478,lag,1817108
1648802493,lag,1905680
1648802508,lag,1890652
1648802523,lag,1871584
1648802538,lag,1148420
1648802553,lag,NaN
1648802568,lag,2025009
1648802583,lag,2294949
1648802598,lag,2294949
1648802613,lag,2275404
1648802628,lag,2264205
1648802643,lag,NaN
1648802658,lag,2058746
1648802673,lag,2109722
1648802688,lag,2109722
1648802703,lag,1986856
1648802718,lag,1920520
1648802733,lag,NaN
1648802748,lag,1940053
1648802763,lag,2421965
1648802778,lag,2421965
1648802793,lag,2077425
1648802808,lag,1908968
1648802823,lag,726976
1648802838,lag,31525
1648802853,lag,22278
1648802868,lag,22853
1648802883,lag,23439
1648802898,lag,21618
1648802913,lag,21796
1648802928,lag,22301
1648802943,lag,34995
1648802958,lag,36049
1648802973,lag,26714
1648802988,lag,24492
1648803003,lag,20718
1648803018,lag,18745
1648803033,lag,15903
1648803048,lag,16283
1648803063,lag,14725
1648803078,lag,15390
1648803093,lag,19123
1648803108,lag,18765
1648803123,lag,15019
1648803138,lag,12549
1648803153,lag,9581
1648803168,lag,10687
1648803183,lag,1863429
1648803198,lag,3609954
1648803213,lag,4310792
1648803228,lag,4310792
1648803243,lag,4310792
1648803258,lag,917436
1648803273,lag,NaN
1648803288,lag,3351264
1648803303,lag,4050612
1648803318,lag,4098682
1648803333,lag,3989739
1648803348,lag,3918637
1648803363,lag,2709373
1648803378,lag,2454739
1648803393,lag,948102
1648803408,lag,198091
1648803423,lag,25095
1648803438,lag,28468
1648803453,lag,26460
1648803468,lag,26607
1648803483,lag,20581
1648803498,lag,18770
1648803513,lag,24395
1648803528,lag,23326
1648803543,lag,55192
1648803558,lag,68438
1648803573,lag,68965
1648803588,lag,49766
1648803603,lag,19451
1648803618,lag,17896
1648803633,lag,18720
1648803648,lag,18051
1648803663,lag,11777
1648803678,lag,11859
1648803693,lag,12905
1648803708,lag,22051
