timestamp,__name__,value
1648893743,latency,-0.001
1648893758,latency,20.3405
1648893773,latency,27.415500000000005
1648893788,latency,30.148
1648893803,latency,31.67925
1648893818,latency,30.194000000000003
1648893833,latency,24.995
1648893848,latency,18.523
1648893863,latency,10.324750000000002
1648893878,latency,4.072
1648893893,latency,0.01825
1648893908,latency,0.03574999999999999
1648893923,latency,0.027125
1648893938,latency,0.019625
1648893953,latency,0.0155
1648893968,latency,0.04925
1648893983,latency,0.022
1648893998,latency,0.0185
1648894013,latency,0.0035
1648894028,latency,0.00425
1648894043,latency,9.832
1648894058,latency,12.6655
1648894073,latency,11.204833333333331
1648894088,latency,8.644166666666665
1648894103,latency,0.5008333333333334
1648894118,latency,0.0795
1648894133,latency,0.07566666666666667
1648894148,latency,0.043833333333333335
1648894163,latency,0.011666666666666667
1648894178,latency,0.106
1648894193,latency,0.009166666666666668
1648894208,latency,0.026333333333333337
1648894223,latency,0.10116666666666667
1648894238,latency,0.021666666666666667
1648894253,latency,0.0125
1648894268,latency,0.026333333333333334
1648894283,latency,0.022166666666666668
1648894298,latency,0.0038333333333333336
1648894313,latency,0.10666666666666666
1648894328,latency,0.025666666666666667
1648894343,latency,0.11083333333333334
1648894358,latency,0.027
1648894373,latency,18.446
1648894388,latency,9.4655
1648894403,latency,0.346
1648894418,latency,0.12025
1648894433,latency,0.0815
1648894448,latency,0.0835
1648894463,latency,0.2165
1648894478,latency,0.06375
1648894493,latency,0.21275
1648894508,latency,0.069
1648894523,latency,0.1105
1648894538,latency,0.11025
1648894553,latency,0.23025
1648894568,latency,0.11425
1648894583,latency,0.0855
1648894598,latency,0.117
1648894613,latency,0.198
1648894628,latency,0.1555
1648894643,latency,0.26475
1648894658,latency,0.30225
1648894673,latency,0.0645
1648894688,latency,0.076
1648894703,latency,6.340666666666667
1648894718,latency,7.969666666666667
1648894733,latency,0.318
1648894748,latency,0.2826666666666667
1648894763,latency,0.32566666666666666
1648894778,latency,0.2933333333333334
1648894793,latency,0.2966666666666667
1648894808,latency,0.24933333333333335
1648894823,latency,0.17733333333333334
1648894838,latency,0.18166666666666667
1648894853,latency,0.2036666666666667
1648894868,latency,0.16
1648894883,latency,0.192
1648894898,latency,0.18633333333333332
1648894913,latency,0.30066666666666664
1648894928,latency,0.3896666666666666
1648894943,latency,0.30533333333333335
1648894958,latency,0.229
1648894973,latency,0.12833333333333333
1648894988,latency,0.241
1648895003,latency,13.5135
1648895018,latency,4.0315
1648895033,latency,0.2415
1648895048,latency,0.329
1648895063,latency,0.3215
1648895078,latency,0.3335
1648895093,latency,0.233
1648895108,latency,0.3385
1648895123,latency,0.2105
1648895138,latency,0.35
1648895153,latency,0.2575
1648895168,latency,0.2935
1648895183,latency,0.253
1648895198,latency,0.35
1648895213,latency,0.359
1648895228,latency,0.331
1648895243,latency,0.2585
1648895258,latency,0.26
1648895273,latency,0.2735
1648895288,latency,0.2715
1648895303,latency,0.3905
1648895318,latency,0.232
1648895333,latency,0.269
1648895348,latency,0.1555
1648895363,latency,12.184
1648895378,latency,4.286
1648895393,latency,2.237
1648895408,latency,0.243
1648895423,latency,0.255
1648895438,latency,0.197
1648895453,latency,1.237
1648895468,latency,0.196
1648895483,latency,0.233
1648895498,latency,0.218
1648895513,latency,0.242
1648895528,latency,0.196
1648895543,latency,0.209
1648895558,latency,1.134
1648895573,latency,1.191
1648895588,latency,1.244
1648895603,latency,1.23
1648895618,latency,1.15
1648895633,latency,0.217
1648895648,latency,0.226
1648895663,latency,1.171
1648895678,latency,0.103
1648895693,latency,0.209
1648895708,latency,0.197
1648895723,latency,0.249
1648895738,latency,1.129
1648895753,latency,1.113
1648895768,latency,1.193
1648895783,latency,0.194
1648895798,latency,0.106
1648895813,latency,0.158
1648895828,latency,0.123
1648895843,latency,0.192
1648895858,latency,1.093
1648895873,latency,1.147
1648895888,latency,1.064
1648895903,latency,1.118
1648895918,latency,1.206
1648895933,latency,1.106
1648895948,latency,1.105
1648895963,latency,1.181
1648895978,latency,1.1
1648895993,latency,0.198
1648896008,latency,0.211
1648896023,latency,2.216
1648896038,latency,3.192
1648896053,latency,4.125
1648896068,latency,8.083
1648896083,latency,4.07
1648896098,latency,5.029
1648896113,latency,5.047
1648896128,latency,6.112
1648896143,latency,8.067
1648896158,latency,5.18
1648896173,latency,4.968
1648896188,latency,10.999
1648896203,latency,17.036
1648896218,latency,17.158
1648896233,latency,34.725
1648896248,latency,44.153
1648896263,latency,48.6595
1648896278,latency,55.6325
1648896293,latency,51.7215
1648896308,latency,42.17
1648896323,latency,47.599
1648896338,latency,51.214
1648896353,latency,50.021
1648896368,latency,53.43333333333333
1648896383,latency,71.78966666666666
1648896398,latency,74.05266666666667
1648896413,latency,75.01533333333333
1648896428,latency,72.831
1648896443,latency,73.086
1648896458,latency,75.359
1648896473,latency,75.64133333333335
1648896488,latency,77.42166666666667
1648896503,latency,66.5825
1648896518,latency,106.44475
1648896533,latency,107.93525
1648896548,latency,104.96375
1648896563,latency,109.318
1648896578,latency,115.1045
1648896593,latency,108.01075
1648896608,latency,93.251
1648896623,latency,98.98425
1648896638,latency,79.98375
1648896653,latency,87.793
1648896668,latency,77.7555
1648896683,latency,77.31025
1648896698,latency,70.996
1648896713,latency,75.6395
1648896728,latency,69.24525
1648896743,latency,61.99275
1648896758,latency,49.9265
1648896773,latency,45.826
1648896788,latency,34.8275
1648896803,latency,22.87
1648896818,latency,6.66475
1648896833,latency,13.642
1648896848,latency,13.09875
1648896863,latency,0.96725
1648896878,latency,11.35725
1648896893,latency,1.61525
1648896908,latency,7.417
1648896923,latency,7.09125
1648896938,latency,6.61775
1648896953,latency,11.10375
1648896968,latency,4.363
1648896983,latency,4.9685
1648896998,latency,9.21875
1648897013,latency,10.61775
1648897028,latency,10.44025
1648897043,latency,3.72175
1648897058,latency,6.2785
1648897073,latency,5.39925
1648897088,latency,7.677
1648897103,latency,1.23875
1648897118,latency,1.567
1648897133,latency,4.87525
1648897148,latency,5.6685
1648897163,latency,13.2828
1648897178,latency,28.6692
1648897193,latency,36.236
1648897208,latency,40.514199999999995
1648897223,latency,42.7338
1648897238,latency,48.780199999999994
1648897253,latency,38.116
1648897268,latency,45.2376
1648897283,latency,40.4384
1648897298,latency,47.67275
1648897313,latency,68.16371428571429
1648897328,latency,78.33342857142857
1648897343,latency,77.47357142857143
1648897358,latency,78.86914285714286
1648897373,latency,81.89457142857144
1648897388,latency,78.35228571428571
1648897403,latency,63.91585714285714
1648897418,latency,76.73928571428571
1648897433,latency,65.796
1648897448,latency,69.62442857142858
1648897463,latency,49.772571428571425
1648897478,latency,47.28314285714286
1648897493,latency,55.28628571428572
1648897508,latency,48.87514285714286
1648897523,latency,35.827285714285715
1648897538,latency,50.92014285714286
1648897553,latency,29.921
1648897568,latency,47.13285714285715
1648897583,latency,22.653857142857145
1648897598,latency,39.306999999999995
1648897613,latency,49.22257142857143
1648897628,latency,35.52014285714286
1648897643,latency,37.49314285714286
1648897658,latency,33.93485714285714
1648897673,latency,20.094285714285718
1648897688,latency,61.76857142857143
1648897703,latency,35.53928571428572
1648897718,latency,37.70666666666666
1648897733,latency,68.87844444444444
1648897748,latency,68.36255555555556
1648897763,latency,62.12377777777778
1648897778,latency,69.994
1648897793,latency,89.91666666666667
1648897808,latency,61.81388888888889
1648897823,latency,59.72944444444446
1648897838,latency,98.26766666666667
1648897853,latency,76.16722222222222
1648897868,latency,55.63211111111111
1648897883,latency,72.23855555555556
1648897898,latency,65.6017777777778
1648897913,latency,42.17488888888889
1648897928,latency,45.03011111111111
1648897943,latency,66.12244444444444
1648897958,latency,52.36633333333334
1648897973,latency,21.664444444444445
1648897988,latency,0.07888888888888888
1648898003,latency,0.125
1648898018,latency,0.058333333333333334
1648898033,latency,0.11122222222222222
1648898048,latency,15.917285714285713
1648898063,latency,1.3949999999999998
1648898078,latency,0.009428571428571429
1648898093,latency,0.10514285714285715
1648898108,latency,0.013285714285714284
1648898123,latency,0.07971428571428571
1648898138,latency,0.08685714285714285
1648898153,latency,0.08171428571428571
1648898168,latency,0.1114
1648898183,latency,7.301399999999999
1648898198,latency,0.1536
1648898213,latency,0.13440000000000002
1648898228,latency,0.31239999999999996
1648898243,latency,0.143
1648898258,latency,0.2112
1648898273,latency,0.045200000000000004
1648898288,latency,0.0564
1648898303,latency,11.121666666666666
1648898318,latency,6.604749999999999
1648898333,latency,0.178
1648898348,latency,0.18075
1648898363,latency,0.17325
1648898378,latency,0.05975
1648898393,latency,0.24575000000000002
1648898408,latency,0.3705
1648898423,latency,11.338
1648898438,latency,10.88
1648898453,latency,0.7273333333333334
1648898468,latency,0.215
1648898483,latency,0.25866666666666666
1648898498,latency,0.173
1648898513,latency,0.30366666666666664
1648898528,latency,0.29233333333333333
1648898543,latency,0.19866666666666669
1648898558,latency,0.198
1648898573,latency,0.2686666666666666
1648898588,latency,0.15833333333333333
1648898603,latency,0.113
1648898618,latency,0.21733333333333335
1648898633,latency,0.1386666666666667
1648898648,latency,0.416
1648898663,latency,0.2643333333333333
1648898678,latency,0.143
1648898693,latency,0.3276666666666666
1648898708,latency,10.866
1648898723,latency,8.7635
1648898738,latency,0.254
1648898753,latency,0.3925
1648898768,latency,0.4065
1648898783,latency,0.267
1648898798,latency,0.4035
1648898813,latency,0.481
1648898828,latency,0.4135
1648898843,latency,0.4205
1648898858,latency,0.269
1648898873,latency,0.4425
1648898888,latency,0.386
1648898903,latency,0.3075
1648898918,latency,0.406
1648898933,latency,0.5375
1648898948,latency,0.343
1648898963,latency,0.426
1648898978,latency,0.272
1648898993,latency,0.3225
1648899008,latency,0.312
1648899023,latency,0.256
1648899038,latency,0.1425
1648899053,latency,0.4775
1648899068,latency,0.427
1648899083,latency,0.205
1648899098,latency,0.2405
1648899113,latency,0.3925
1648899128,latency,0.476
1648899143,latency,0.469
1648899158,latency,0.405
1648899173,latency,0.406
1648899188,latency,0.5145
1648899203,latency,0.1835
1648899218,latency,0.248
1648899233,latency,0.1635
1648899248,latency,0.277
1648899263,latency,0.4295
1648899278,latency,0.197
1648899293,latency,0.4105
1648899308,latency,0.2675
1648899323,latency,0.286
1648899338,latency,0.4295
1648899353,latency,0.217
1648899368,latency,0.292
1648899383,latency,0.3585
1648899398,latency,0.3875
1648899413,latency,0.3925
1648899428,latency,0.2745
1648899443,latency,0.332
1648899458,latency,0.281
1648899473,latency,0.2445
1648899488,latency,0.3875
1648899503,latency,0.3
1648899518,latency,0.4075
1648899533,latency,0.283
1648899548,latency,0.232
1648899563,latency,0.577
1648899578,latency,0.348
1648899593,latency,0.2755
1648899608,latency,0.3265
1648899623,latency,0.482
1648899638,latency,0.516
1648899653,latency,0.503
1648899668,latency,0.425
1648899683,latency,0.471
1648899698,latency,0.427
1648899713,latency,0.4595
1648899728,latency,0.482
1648899743,latency,0.6945
1648899758,latency,0.603
1648899773,latency,0.617
1648899788,latency,0.6425
1648899803,latency,0.6115
1648899818,latency,0.688
1648899833,latency,0.6155
1648899848,latency,0.6905
1648899863,latency,0.631
1648899878,latency,1.1555
1648899893,latency,1.1225
1648899908,latency,1.037
1648899923,latency,1.0695
1648899938,latency,1.1215
1648899953,latency,1.2225
1648899968,latency,1.6235
1648899983,latency,3.186
1648899998,latency,2.6795
1648900013,latency,2.179
1648900028,latency,2.701
1648900043,latency,1.554
1648900058,latency,2.0725
1648900073,latency,2.15
1648900088,latency,1.1935
1648900103,latency,2.739
1648900118,latency,9.0825
1648900133,latency,10.5625
1648900148,latency,11.589
1648900163,latency,16.081333333333333
1648900178,latency,39.49166666666667
1648900193,latency,45.73766666666666
1648900208,latency,52.75
1648900223,latency,54.15
1648900238,latency,58.35866666666667
1648900253,latency,63.773
1648900268,latency,59.264333333333326
1648900283,latency,56.74866666666667
1648900298,latency,63.298
1648900313,latency,78.01939999999999
1648900328,latency,90.0714
1648900343,latency,88.3072
1648900358,latency,97.6618
1648900373,latency,94.5302
1648900388,latency,97.754
1648900403,latency,97.6494
1648900418,latency,96.82
1648900433,latency,84.7176
1648900448,latency,81.61333333333333
1648900463,latency,118.37916666666668
1648900478,latency,110.041
1648900493,latency,124.72533333333334
1648900508,latency,119.64966666666666
1648900523,latency,120.99233333333333
1648900538,latency,114.53866666666667
1648900553,latency,105.8895
1648900568,latency,124.52516666666668
1648900583,latency,84.83816666666667
1648900598,latency,103.581
1648900613,latency,126.92099999999999
1648900628,latency,116.42557142857143
1648900643,latency,140.27671428571426
1648900658,latency,121.47485714285715
1648900673,latency,138.11485714285715
1648900688,latency,120.65185714285714
1648900703,latency,117.78414285714285
1648900718,latency,104.79242857142857
1648900733,latency,77.3945
1648900748,latency,101.61111111111111
1648900763,latency,139.0102222222222
1648900778,latency,123.64244444444444
1648900793,latency,134.20311111111113
1648900808,latency,123.03766666666667
1648900823,latency,130.26777777777778
1648900838,latency,114.48488888888889
1648900853,latency,108.02888888888889
1648900868,latency,129.4591111111111
1648900883,latency,100.314
1648900898,latency,105.53144444444443
1648900913,latency,114.1108888888889
1648900928,latency,128.61822222222222
1648900943,latency,111.765
1648900958,latency,121.51555555555557
1648900973,latency,125.932
1648900988,latency,111.82675000000002
1648901003,latency,158.40233333333333
1648901018,latency,156.99325
1648901033,latency,194.95916666666662
1648901048,latency,175.97133333333332
1648901063,latency,160.338
1648901078,latency,200.51216666666667
1648901093,latency,166.95725
1648901108,latency,206.8350833333333
1648901123,latency,197.28950000000003
1648901138,latency,159.91573333333335
1648901153,latency,208.8399375
1648901168,latency,202.67812499999997
1648901183,latency,208.431
1648901198,latency,218.8695
1648901213,latency,206.62893750000003
1648901228,latency,195.7268125
1648901243,latency,209.07437499999997
1648901258,latency,191.8423125
1648901273,latency,203.2916875
1648901288,latency,193.165
1648901303,latency,205.6546875
1648901318,latency,185.2863125
1648901333,latency,187.79525000000004
1648901348,latency,198.27406249999996
1648901363,latency,195.862375
1648901378,latency,188.8213125
1648901393,latency,200.74225000000007
1648901408,latency,205.422375
1648901423,latency,181.1080625
1648901438,latency,199.82225
1648901453,latency,200.109
1648901468,latency,188.25168749999997
1648901483,latency,190.918
1648901498,latency,195.22693749999993
1648901513,latency,190.324
1648901528,latency,192.3586875
1648901543,latency,201.7346875
1648901558,latency,212.19481249999998
1648901573,latency,201.66593750000004
1648901588,latency,208.3673125
1648901603,latency,215.07306250000002
1648901618,latency,214.00081249999997
1648901633,latency,212.4375625
1648901648,latency,216.90593749999996
1648901663,latency,209.35968749999998
1648901678,latency,233.2523125
1648901693,latency,219.92425
1648901708,latency,237.52231249999997
1648901723,latency,220.456
1648901738,latency,226.738
1648901753,latency,238.3484375
1648901768,latency,230.78812499999998
1648901783,latency,242.87374999999997
1648901798,latency,235.82193749999996
1648901813,latency,242.58912499999994
1648901828,latency,235.216875
1648901843,latency,260.278625
1648901858,latency,237.2673125
1648901873,latency,249.55031250000005
1648901888,latency,257.2395
1648901903,latency,260.1165
1648901918,latency,260.0274375
1648901933,latency,278.311625
1648901948,latency,267.5528125
1648901963,latency,273.25731249999995
1648901978,latency,275.0938750000001
1648901993,latency,267.15787499999993
1648902008,latency,270.96168750000004
1648902023,latency,265.931125
1648902038,latency,289.6694375
1648902053,latency,291.99362499999995
1648902068,latency,269.3714375
1648902083,latency,286.6785
1648902098,latency,300.57743750000003
1648902113,latency,300.3889375
1648902128,latency,273.8069375
1648902143,latency,295.344375
1648902158,latency,288.75106250000005
1648902173,latency,272.05775000000006
1648902188,latency,299.347875
1648902203,latency,281.004375
1648902218,latency,288.3454375
1648902233,latency,278.83925
1648902248,latency,274.4900625000001
1648902263,latency,266.5133125
1648902278,latency,277.7379374999999
1648902293,latency,284.063625
1648902308,latency,263.19074999999987
1648902323,latency,250.20968750000006
1648902338,latency,258.6000625
1648902353,latency,241.04825000000005
1648902368,latency,226.2735
1648902383,latency,246.21993749999993
