,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,14,1648459353,38296.79758439968,2022-03-28 09:22:33,0,0.0,6.916666666666667,0.0,0.9995,0.6151657925407925,1149525.0,7.057625,8,14553.683333333332
1,15,1648459368,80789.12405886024,2022-03-28 09:22:48,15,0.25,12.5,0.2923923611111111,0.9794897959183672,0.7053680555555555,1278849.0,1.83675,8,62929.66666666667
2,16,1648459383,123211.20859090908,2022-03-28 09:23:03,30,0.5,15.666666666666666,0.3576006944444445,0.5915294117647059,0.6393159722222223,1278849.0,0.0165,8,111416.19999999998
3,17,1648459398,158017.03636363632,2022-03-28 09:23:18,45,0.75,15.666666666666668,0.3832430555555555,0.5273333333333333,0.613670138888889,1129203.0,0.025875,8,150980.31666666668
4,18,1648459413,155738.40263235327,2022-03-28 09:23:33,60,1.0,10.083333333333332,0.2845277777777777,0.6167156862745098,0.7132361111111112,235569.0,0.0205,8,174043.5
5,19,1648459428,153304.30909090908,2022-03-28 09:23:48,75,1.25,5.333333333333333,0.1413055555555555,0.6070202080832332,0.8578368055555555,103533.0,0.028375,8,163113.99999999997
6,20,1648459443,151273.40703481025,2022-03-28 09:24:03,90,1.5,1.1666666666666663,0.0873680555555555,0.420780137054822,0.9125694444444444,41712.0,0.010125,8,152079.86666666667
7,21,1648459458,149520.09090909088,2022-03-28 09:24:18,105,1.75,1.6666666666666667,0.0861944444444444,0.5655395408163265,0.9136840277777776,42180.0,0.012,8,149917.78333333333
8,22,1648459473,149427.45454545453,2022-03-28 09:24:33,120,2.0,2.75,0.0836215277777777,0.4168823529411765,0.9162118055555556,41181.0,0.0663749999999999,8,149533.94999999998
9,23,1648459488,149362.41818181818,2022-03-28 09:24:48,135,2.25,2.75,0.0778541666666666,0.3449897959183673,0.9219791666666668,39483.0,0.007125,8,149458.76666666666
10,24,1648459503,149154.9090909091,2022-03-28 09:25:03,150,2.5,2.75,0.071125,0.3226078431372549,0.9287569444444445,33324.0,0.011625,8,149396.41666666666
11,25,1648459518,149108.92727272725,2022-03-28 09:25:18,165,2.75,1.333333333333333,0.0564131944444444,0.3265306122448979,0.9435312500000002,30402.0,0.003125,8,149141.30000000002
12,26,1648459533,147138.7636363636,2022-03-28 09:25:33,180,3.0,0.0,0.0461388888888888,0.2955,0.953861111111111,20127.0,0.0025,8,147830.76666666666
13,27,1648459548,145773.16363636364,2022-03-28 09:25:48,195,3.25,0.0,0.0415173611111111,0.2896020408163265,0.958482638888889,19116.0,0.002375,8,146020.98333333334
14,28,1648459563,143821.7818181818,2022-03-28 09:26:03,210,3.5,0.0,0.0400208333333333,0.3281358543417367,0.9599791666666666,21048.0,0.00675,8,144167.61666666664
15,29,1648459578,142588.43636363634,2022-03-28 09:26:18,225,3.75,0.0,0.0421701388888888,0.3710196078431372,0.9578298611111112,29370.0,0.022375,8,142646.4
16,30,1648459593,140212.0181818182,2022-03-28 09:26:33,240,4.0,0.0,0.0427083333333333,0.2923367346938775,0.9572916666666668,31356.0,0.0055,8,140477.8
17,31,1648459608,137728.8909090909,2022-03-28 09:26:48,255,4.25,0.0,0.0425451388888888,0.3207021276595744,0.9574548611111112,27030.0,0.002375,8,138252.85
18,32,1648459623,135154.41818181818,2022-03-28 09:27:03,270,4.5,0.0,0.0435277777777777,0.2891632653061224,0.9564722222222222,19143.0,0.009,8,136214.96666666667
19,33,1648459638,133498.6,2022-03-28 09:27:18,285,4.75,0.0,0.0420625,0.31,0.9579375,25968.0,0.003875,8,133939.5166666667
20,34,1648459653,132018.69090909092,2022-03-28 09:27:33,300,5.0,0.0,0.0408715277777777,0.269,0.9591284722222222,25089.0,0.00375,8,132257.06666666668
21,35,1648459668,130481.43636363634,2022-03-28 09:27:48,315,5.25,0.0,0.0405069444444444,0.280892156862745,0.9594930555555556,21549.0,0.06425,8,131023.21666666667
22,36,1648459683,129128.9818181818,2022-03-28 09:28:03,330,5.5,0.0,0.0378923611111111,0.268765306122449,0.962107638888889,9624.0,0.0025,8,129364.98333333334
23,37,1648459698,128060.32727272726,2022-03-28 09:28:18,345,5.75,0.0,0.0364444444444444,0.286265306122449,0.9635555555555554,13836.0,0.003625,8,128043.75
24,38,1648459713,128158.21818181816,2022-03-28 09:28:33,360,6.0,0.0,0.0347256944444444,0.2708061224489796,0.9652743055555556,11397.0,0.002875,8,128130.18333333332
25,39,1648459728,128456.5636363636,2022-03-28 09:28:48,375,6.25,0.0,0.0341944444444444,0.2631530612244898,0.9658055555555556,13125.0,0.0081249999999999,8,128300.65
26,40,1648459743,128779.50909090908,2022-03-28 09:29:03,390,6.5,0.0,0.0340347222222222,0.2675,0.9659652777777776,10554.0,0.0035,8,128644.46666666667
27,41,1648459758,128765.63636363635,2022-03-28 09:29:18,405,6.75,0.0,0.0329131944444444,0.301,0.9670868055555556,10857.0,0.002,8,128832.78333333333
28,42,1648459773,131113.32727272727,2022-03-28 09:29:33,420,7.0,0.0,0.0337777777777777,0.3035816326530612,0.966222222222222,15858.0,0.002,8,130648.21666666667
29,43,1648459788,133233.2,2022-03-28 09:29:48,435,7.25,0.0,0.0349895833333333,0.3019387755102041,0.9650104166666668,19347.0,0.002875,8,132754.58333333334
30,44,1648459803,135669.01818181816,2022-03-28 09:30:03,450,7.5,0.0,0.0355902777777777,0.2977708333333334,0.9644097222222222,12060.0,0.0037499999999999,8,134958.66666666666
31,45,1648459818,137191.30909090908,2022-03-28 09:30:18,465,7.75,0.0,0.0364583333333333,0.2962551020408163,0.9635416666666666,13581.0,0.0025,8,136956.48333333334
32,46,1648459833,138369.01818181816,2022-03-28 09:30:33,480,8.0,0.0,0.0364097222222222,0.3138775510204081,0.9635902777777778,16503.0,0.002375,8,138106.35
33,47,1648459848,139383.23636363636,2022-03-28 09:30:48,495,8.25,0.0,0.0361827651515151,0.3308366013071895,0.963817234848485,12732.0,0.0128333333333333,8,104584.33333333334
34,48,1648459863,140415.92727272725,2022-03-28 09:31:03,510,8.5,30.5,0.3757026455026452,0.9933333333333332,0.6219283068783068,2625516.0,12.769166666666669,6,16993.600000000002
35,49,1648459878,141324.56363636363,2022-03-28 09:31:18,525,8.75,53.6,0.2964911564625849,0.6166928104575163,0.6991707482993196,2625516.0,0.061,6,84265.66666666666
36,50,1648459893,140793.7818181818,2022-03-28 09:31:33,540,9.0,33.5,0.217188492063492,0.5990402494331065,0.779921626984127,2625516.0,0.0025,6,120353.68333333332
37,51,1648459908,140341.47272727272,2022-03-28 09:31:48,555,9.25,24.36363636363636,0.2305121212121212,0.5322798452714419,0.7665424242424244,2625516.0,0.0688333333333333,6,155104.61666666664
38,52,1648459923,139844.97404372983,2022-03-28 09:32:03,570,9.5,23.0,0.23196178030303027,0.6205173263658983,0.2512551440329217,2633074.5,7.566571428571429,8,0.0
39,53,1648459938,139273.58181818182,2022-03-28 09:32:18,585,9.75,54.25,0.23341143939393935,0.5001517585757708,0.4677632275132276,2640633.0,7.463750000000001,8,51213.08333333333
40,54,1648459953,138266.94545454544,2022-03-28 09:32:33,600,10.0,31.0,0.23486109848484846,0.5915282112845137,0.5547570546737214,2793696.0,6.51825,8,86419.25000000001
41,55,1648459968,136973.45454545453,2022-03-28 09:32:48,615,10.25,40.3,0.23631075757575754,0.4154583333333333,0.5635745098039214,2793696.0,1.928125,8,129468.36666666668
42,56,1648459983,135840.5616676612,2022-03-28 09:33:03,630,10.5,61.083333333333336,0.2377604166666666,0.3672727090836334,0.7569305555555556,1433265.0,0.0158749999999999,8,169427.89999999997
