timestamp,__name__,value
1647098324,latency,-0.001
1647098339,latency,-0.001
1647098354,latency,-0.001
1647098369,latency,5.29875
1647098384,latency,13.5345
1647098399,latency,18.189
1647098414,latency,15.585
1647098429,latency,12.49925
1647098444,latency,8.1135
1647098459,latency,7.39075
1647098474,latency,18.543
1647098489,latency,16.507166666666667
1647098504,latency,15.2715
1647098519,latency,11.566333333333334
1647098534,latency,11.2185
1647098549,latency,2.803666666666667
1647098564,latency,5.3515
1647098579,latency,2.0913333333333335
1647098594,latency,0.028166666666666666
1647098609,latency,0.0035
1647098624,latency,0.0038333333333333336
1647098639,latency,0.0195
1647098654,latency,0.002666666666666667
1647098669,latency,0.002666666666666667
1647098684,latency,0.003
1647098699,latency,0.0025
1647098714,latency,5.3845
1647098729,latency,1.15425
1647098744,latency,0.00475
1647098759,latency,0.02125
1647098774,latency,0.004
1647098789,latency,0.00275
1647098804,latency,0.035
1647098819,latency,0.0025
1647098834,latency,0.0095
1647098849,latency,0.02825
1647098864,latency,0.003999999999999999
1647098879,latency,0.008
1647098894,latency,0.0035
1647098909,latency,0.00825
1647098924,latency,0.0165
1647098939,latency,0.0025
1647098954,latency,0.04525
1647098969,latency,0.1925
1647098984,latency,0.00325
1647098999,latency,0.00275
1647099014,latency,0.0025
1647099029,latency,0.00425
1647099044,latency,0.00225
1647099059,latency,0.0019999999999999996
1647099074,latency,0.00275
1647099089,latency,0.00325
1647099104,latency,0.0025
1647099119,latency,0.003
1647099134,latency,0.0025
1647099149,latency,0.0025
1647099164,latency,0.00425
1647099179,latency,0.00425
1647099194,latency,0.00225
1647099209,latency,0.003
1647099224,latency,0.00625
1647099239,latency,0.005
1647099254,latency,0.00575
1647099269,latency,0.0025
1647099284,latency,0.014249999999999999
1647099299,latency,0.0025
1647099314,latency,0.002
1647099329,latency,0.007250000000000001
1647099344,latency,0.0135
1647099359,latency,7.6285
1647099374,latency,5.310333333333334
1647099389,latency,0.24533333333333332
1647099404,latency,0.003
1647099419,latency,0.017
1647099434,latency,0.009333333333333332
1647099449,latency,0.024666666666666667
1647099464,latency,0.006333333333333333
1647099479,latency,0.018333333333333333
1647099494,latency,0.005666666666666666
1647099509,latency,9.021
1647099524,latency,0.267
1647099539,latency,0.1185
1647099554,latency,0.1325
1647099569,latency,0.1615
1647099584,latency,0.1775
1647099599,latency,0.1625
1647099614,latency,0.074
1647099629,latency,0.141
1647099644,latency,0.0435
1647099659,latency,0.094
1647099674,latency,0.1315
1647099689,latency,0.09
1647099704,latency,14.965
1647099719,latency,12.94
1647099734,latency,13.912
1647099749,latency,9.06
1647099764,latency,14.948
1647099779,latency,9.887
1647099794,latency,3.805
1647099809,latency,6.933
1647099824,latency,2.032
1647099839,latency,0.002
1647099854,latency,0.02
1647099869,latency,0.002
1647099884,latency,0.002
1647099899,latency,0.002
1647099914,latency,0.002
1647099929,latency,0.003
1647099944,latency,0.002
1647099959,latency,0.003
1647099974,latency,0.003
1647099989,latency,0.003
1647100004,latency,0.004
1647100019,latency,0.004
1647100034,latency,0.361
1647100049,latency,0.364
1647100064,latency,0.366
1647100079,latency,0.351
1647100094,latency,0.367
1647100109,latency,0.372
1647100124,latency,0.357
1647100139,latency,0.344
1647100154,latency,0.46
1647100169,latency,0.356
1647100184,latency,0.654
1647100199,latency,0.37
1647100214,latency,0.358
1647100229,latency,0.369
1647100244,latency,0.377
1647100259,latency,0.347
1647100274,latency,0.482
1647100289,latency,0.489
1647100304,latency,0.53
1647100319,latency,0.333
1647100334,latency,0.337
1647100349,latency,0.723
1647100364,latency,0.445
1647100379,latency,0.41
1647100394,latency,0.408
1647100409,latency,0.402
1647100424,latency,0.498
1647100439,latency,0.445
1647100454,latency,0.491
1647100469,latency,0.465
1647100484,latency,0.574
1647100499,latency,0.449
1647100514,latency,0.557
1647100529,latency,0.557
1647100544,latency,0.557
1647100559,latency,0.549
1647100574,latency,0.36
1647100589,latency,0.712
1647100604,latency,0.613
1647100619,latency,0.6
1647100634,latency,0.641
1647100649,latency,0.708
1647100664,latency,0.847
1647100679,latency,0.743
1647100694,latency,0.783
1647100709,latency,1.872
1647100724,latency,2.76
1647100739,latency,3.941
1647100754,latency,4.643
1647100769,latency,4.766
1647100784,latency,4.831
1647100799,latency,17.141
1647100814,latency,22.49
1647100829,latency,22.062
1647100844,latency,22.4855
1647100859,latency,20.0105
1647100874,latency,18.47
1647100889,latency,19.493
1647100904,latency,16.4995
1647100919,latency,11.9825
1647100934,latency,11.992
1647100949,latency,11.5815
1647100964,latency,17.546
1647100979,latency,15.573666666666666
1647100994,latency,16.125
1647101009,latency,12.735
1647101024,latency,9.639666666666667
1647101039,latency,7.0696666666666665
1647101054,latency,5.507
1647101069,latency,5.006666666666667
1647101084,latency,3.929666666666667
1647101099,latency,0.531
1647101114,latency,0.09166666666666667
1647101129,latency,0.2746666666666666
1647101144,latency,0.127
1647101159,latency,0.5216666666666667
1647101174,latency,0.10733333333333332
1647101189,latency,0.21733333333333332
1647101204,latency,0.16066666666666668
1647101219,latency,0.20366666666666666
1647101234,latency,0.19733333333333333
1647101249,latency,0.09933333333333333
1647101264,latency,0.21466666666666664
1647101279,latency,0.15733333333333335
1647101294,latency,0.058333333333333334
1647101309,latency,0.09066666666666666
1647101324,latency,0.12766666666666668
1647101339,latency,0.16466666666666668
1647101354,latency,0.09733333333333333
1647101369,latency,0.094
1647101384,latency,0.10233333333333335
1647101399,latency,0.08566666666666667
1647101414,latency,0.037333333333333336
1647101429,latency,0.067
1647101444,latency,0.030333333333333334
1647101459,latency,0.06366666666666666
1647101474,latency,1.42
1647101489,latency,0.2576666666666667
1647101504,latency,0.11466666666666665
1647101519,latency,0.09866666666666667
1647101534,latency,0.31366666666666665
1647101549,latency,0.7763333333333333
1647101564,latency,2.1973333333333334
1647101579,latency,1.365
1647101594,latency,1.9283333333333335
1647101609,latency,0.6636666666666667
1647101624,latency,0.6183333333333333
1647101639,latency,0.4903333333333333
1647101654,latency,0.37866666666666665
1647101669,latency,0.675
1647101684,latency,0.41966666666666663
1647101699,latency,0.405
1647101714,latency,1.2113333333333336
1647101729,latency,0.809
1647101744,latency,0.8066666666666666
1647101759,latency,1.8096666666666665
1647101774,latency,2.190666666666667
1647101789,latency,1.2576666666666667
1647101804,latency,2.087
1647101819,latency,2.9443333333333332
1647101834,latency,2.596333333333333
1647101849,latency,3.5286666666666666
1647101864,latency,1.7546666666666668
1647101879,latency,3.957666666666667
1647101894,latency,4.3646666666666665
1647101909,latency,5.581666666666667
1647101924,latency,10.3065
1647101939,latency,14.47625
1647101954,latency,15.9925
1647101969,latency,15.568
1647101984,latency,16.60175
1647101999,latency,13.2115
1647102014,latency,13.34525
1647102029,latency,15.1755
1647102044,latency,20.50433333333333
1647102059,latency,2.7043999999999997
1647102074,latency,28.3906
1647102089,latency,15.702399999999999
1647102104,latency,12.466599999999998
1647102119,latency,19.1384
1647102134,latency,20.172199999999997
1647102149,latency,17.364
1647102164,latency,17.112
1647102179,latency,8.380799999999999
1647102194,latency,8.0892
1647102209,latency,8.766200000000001
