sep=,
"Time","flink_jobmanager_numRegisteredTaskManagers{app=""flink"", component=""jobmanager"", controller_uid=""f87f0dfe-38c8-4348-b143-8c906dc3ebce"", host=""flink_jobmanager"", instance=""10.120.0.5:9249"", job=""kubernetes-pods-scrape-every-2s"", job_name=""flink-jobmanager"", kubernetes_namespace=""default"", kubernetes_pod_name=""flink-jobmanager-q6jfd""}"
2022-02-21 16:14:30,
2022-02-21 16:14:45,
2022-02-21 16:15:00,
2022-02-21 16:15:15,
2022-02-21 16:15:30,
2022-02-21 16:15:45,
2022-02-21 16:16:00,
2022-02-21 16:16:15,
2022-02-21 16:16:30,
2022-02-21 16:16:45,
2022-02-21 16:17:00,
2022-02-21 16:17:15,
2022-02-21 16:17:30,
2022-02-21 16:17:45,
2022-02-21 16:18:00,
2022-02-21 16:18:15,
2022-02-21 16:18:30,
2022-02-21 16:18:45,
2022-02-21 16:19:00,
2022-02-21 16:19:15,
2022-02-21 16:19:30,
2022-02-21 16:19:45,
2022-02-21 16:20:00,
2022-02-21 16:20:15,
2022-02-21 16:20:30,
2022-02-21 16:20:45,
2022-02-21 16:21:00,
2022-02-21 16:21:15,
2022-02-21 16:21:30,
2022-02-21 16:21:45,
2022-02-21 16:22:00,
2022-02-21 16:22:15,
2022-02-21 16:22:30,
2022-02-21 16:22:45,
2022-02-21 16:23:00,
2022-02-21 16:23:15,
2022-02-21 16:23:30,
2022-02-21 16:23:45,
2022-02-21 16:24:00,
2022-02-21 16:24:15,
2022-02-21 16:24:30,
2022-02-21 16:24:45,
2022-02-21 16:25:00,
2022-02-21 16:25:15,
2022-02-21 16:25:30,
2022-02-21 16:25:45,
2022-02-21 16:26:00,
2022-02-21 16:26:15,
2022-02-21 16:26:30,
2022-02-21 16:26:45,
2022-02-21 16:27:00,
2022-02-21 16:27:15,
2022-02-21 16:27:30,
2022-02-21 16:27:45,
2022-02-21 16:28:00,
2022-02-21 16:28:15,
2022-02-21 16:28:30,
2022-02-21 16:28:45,
2022-02-21 16:29:00,
2022-02-21 16:29:15,
2022-02-21 16:29:30,
2022-02-21 16:29:45,
2022-02-21 16:30:00,
2022-02-21 16:30:15,
2022-02-21 16:30:30,
2022-02-21 16:30:45,
2022-02-21 16:31:00,
2022-02-21 16:31:15,
2022-02-21 16:31:30,
2022-02-21 16:31:45,
2022-02-21 16:32:00,
2022-02-21 16:32:15,
2022-02-21 16:32:30,
2022-02-21 16:32:45,
2022-02-21 16:33:00,
2022-02-21 16:33:15,
2022-02-21 16:33:30,
2022-02-21 16:33:45,
2022-02-21 16:34:00,
2022-02-21 16:34:15,
2022-02-21 16:34:30,
2022-02-21 16:34:45,
2022-02-21 16:35:00,
2022-02-21 16:35:15,
2022-02-21 16:35:30,
2022-02-21 16:35:45,
2022-02-21 16:36:00,
2022-02-21 16:36:15,
2022-02-21 16:36:30,
2022-02-21 16:36:45,
2022-02-21 16:37:00,
2022-02-21 16:37:15,
2022-02-21 16:37:30,
2022-02-21 16:37:45,
2022-02-21 16:38:00,
2022-02-21 16:38:15,
2022-02-21 16:38:30,
2022-02-21 16:38:45,
2022-02-21 16:39:00,
2022-02-21 16:39:15,
2022-02-21 16:39:30,
2022-02-21 16:39:45,
2022-02-21 16:40:00,
2022-02-21 16:40:15,
2022-02-21 16:40:30,
2022-02-21 16:40:45,
2022-02-21 16:41:00,
2022-02-21 16:41:15,
2022-02-21 16:41:30,
2022-02-21 16:41:45,
2022-02-21 16:42:00,
2022-02-21 16:42:15,
2022-02-21 16:42:30,
2022-02-21 16:42:45,
2022-02-21 16:43:00,
2022-02-21 16:43:15,
2022-02-21 16:43:30,
2022-02-21 16:43:45,
2022-02-21 16:44:00,
2022-02-21 16:44:15,
2022-02-21 16:44:30,
2022-02-21 16:44:45,
2022-02-21 16:45:00,
2022-02-21 16:45:15,
2022-02-21 16:45:30,
2022-02-21 16:45:45,
2022-02-21 16:46:00,
2022-02-21 16:46:15,
2022-02-21 16:46:30,
2022-02-21 16:46:45,
2022-02-21 16:47:00,
2022-02-21 16:47:15,
2022-02-21 16:47:30,
2022-02-21 16:47:45,
2022-02-21 16:48:00,
2022-02-21 16:48:15,
2022-02-21 16:48:30,
2022-02-21 16:48:45,
2022-02-21 16:49:00,
2022-02-21 16:49:15,
2022-02-21 16:49:30,
2022-02-21 16:49:45,
2022-02-21 16:50:00,
2022-02-21 16:50:15,
2022-02-21 16:50:30,
2022-02-21 16:50:45,
2022-02-21 16:51:00,
2022-02-21 16:51:15,
2022-02-21 16:51:30,
2022-02-21 16:51:45,
2022-02-21 16:52:00,
2022-02-21 16:52:15,
2022-02-21 16:52:30,
2022-02-21 16:52:45,
2022-02-21 16:53:00,
2022-02-21 16:53:15,
2022-02-21 16:53:30,
2022-02-21 16:53:45,
2022-02-21 16:54:00,
2022-02-21 16:54:15,
2022-02-21 16:54:30,
2022-02-21 16:54:45,
2022-02-21 16:55:00,
2022-02-21 16:55:15,
2022-02-21 16:55:30,
2022-02-21 16:55:45,
2022-02-21 16:56:00,
2022-02-21 16:56:15,
2022-02-21 16:56:30,
2022-02-21 16:56:45,
