,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,2,2022-09-30 16:48:05,20570.30726333333,2022-09-30 16:48:05,0,0.0,0.0,0.0,0.459402170231317,0.0,0.0,-0.001,6.0,0.0
1,3,2022-09-30 16:48:20,85732.92128433334,2022-09-30 16:48:20,15,0.25,26.0,0.0,0.9936618269949488,0.2026574074074073,3909183.0,16.439875,8.0,8615.716666666667
2,4,2022-09-30 16:48:35,150879.78772575755,2022-09-30 16:48:35,30,0.5,67.5,0.0,0.9985,0.2317546296296296,4741746.0,12.524375,8.0,75039.01666666666
3,5,2022-09-30 16:48:50,216168.4943657576,2022-09-30 16:48:50,45,0.75,73.33333333333333,0.0,0.8396662665066026,0.2728333333333333,4741746.0,0.62275,8.0,185667.9833333333
4,6,2022-09-30 16:49:05,248710.43636363637,2022-09-30 16:49:05,60,1.0,55.00000000000001,0.4807951388888889,0.7197568389057751,0.5014340277777778,4741746.0,0.044,8.0,258826.26666666663
5,7,2022-09-30 16:49:20,246693.1272727273,2022-09-30 16:49:20,75,1.25,54.75,0.3420833333333334,0.7083170864090317,0.6379479166666667,1825410.0,0.0701249999999999,8.0,309793.2166666667
6,8,2022-09-30 16:49:35,244814.43636363637,2022-09-30 16:49:35,90,1.5,45.41666666666666,0.2301597222222222,0.6994876700680271,0.7561770833333332,1825749.0,0.009625,8.0,306504.06666666665
7,9,2022-09-30 16:49:50,242846.0,2022-09-30 16:49:50,105,1.75,17.41666666666667,0.1495069444444444,0.6640506314227819,0.8456388888888888,71211.0,0.019625,8.0,254907.26666666663
8,10,2022-09-30 16:50:05,241628.0,2022-09-30 16:50:05,120,2.0,5.666666666666667,0.1204374999999999,0.5996860506459752,0.8771493055555557,74913.0,0.011375,8.0,242256.61666666667
9,11,2022-09-30 16:50:20,240741.0,2022-09-30 16:50:20,135,2.25,5.666666666666667,0.1033263888888888,0.5215787001201961,0.8942013888888888,60444.0,0.002125,8.0,241051.7666666667
10,12,2022-09-30 16:50:35,239803.61818181816,2022-09-30 16:50:35,150,2.5,3.75,0.0888159722222222,0.5251331506006658,0.9096319444444444,61929.0,0.00275,8.0,240208.56666666668
11,13,2022-09-30 16:50:50,238716.2909090909,2022-09-30 16:50:50,165,2.75,3.083333333333333,0.0803472222222222,0.5404321808510638,0.9193541666666664,44517.0,0.001625,8.0,239219.8333333333
