timestamp,__name__,value
1648401943,lag,NaN
1648401958,lag,0
1648401973,lag,0
1648401988,lag,189744
1648402003,lag,679113
1648402018,lag,944499
1648402033,lag,985980
1648402048,lag,820584
1648402063,lag,821034
1648402078,lag,611403
1648402093,lag,612129
1648402108,lag,134673
1648402123,lag,135408
1648402138,lag,7512
1648402153,lag,7512
1648402168,lag,1851
1648402183,lag,3798
1648402198,lag,3369
1648402213,lag,3369
1648402228,lag,552
1648402243,lag,1084500
1648402258,lag,1781916
1648402273,lag,2286516
1648402288,lag,2676708
1648402303,lag,3244596
1648402318,lag,3685584
1648402333,lag,4060368
1648402348,lag,4426584
1648402363,lag,4746864
1648402378,lag,5088024
1648402393,lag,5386860
1648402408,lag,5750940
1648402423,lag,6364620
1648402438,lag,6753780
1648402453,lag,7169736
1648402468,lag,7575408
1648402483,lag,7880712
1648402498,lag,8162508
1648402513,lag,NaN
1648402528,lag,6708642
1648402543,lag,10347138
1648402558,lag,10719210
1648402573,lag,10988706
1648402588,lag,11132592
1648402603,lag,11350020
1648402618,lag,11440644
1648402633,lag,11476278
1648402648,lag,11423502
1648402663,lag,11446374
1648402678,lag,11294340
1648402693,lag,11273400
1648402708,lag,11023698
1648402723,lag,10847646
1648402738,lag,9861552
1648402753,lag,9634860
1648402768,lag,6136434
1648402783,lag,10109216
1648402798,lag,10305416
1648402813,lag,10468352
1648402828,lag,10589144
1648402843,lag,10420304
1648402858,lag,10546024
1648402873,lag,10394368
1648402888,lag,10436136
1648402903,lag,10415976
1648402918,lag,10418320
1648402933,lag,10340504
1648402948,lag,10342872
1648402963,lag,10157752
1648402978,lag,10171120
1648402993,lag,10245480
1648403008,lag,10250576
1648403023,lag,10249312
1648403038,lag,10249312
1648403053,lag,10174496
1648403068,lag,10174496
1648403083,lag,9935056
1648403098,lag,9935056
1648403113,lag,9571312
1648403128,lag,9572752
1648403143,lag,9108536
1648403158,lag,9109112
1648403173,lag,8598816
1648403188,lag,8600640
1648403203,lag,8222040
1648403218,lag,8222320
1648403233,lag,7744552
1648403248,lag,7746448
1648403263,lag,7196928
1648403278,lag,7202152
1648403293,lag,6501584
1648403308,lag,6501584
1648403323,lag,5738944
1648403338,lag,5739336
1648403353,lag,4872744
1648403368,lag,4872904
1648403383,lag,3939976
