,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,14,1648459847,13361.379467878787,2022-03-28 09:30:47,0,0.0,0.0,0.0,0.7993235294117647,0.6698240641711228,147651.0,3.572125,8,1.0333333333333332
1,15,1648459862,52377.96569818182,2022-03-28 09:31:02,15,0.25,118.5,0.3009635416666666,0.9970490196078432,0.6550520833333334,1563642.0,13.55,8,10522.466666666664
2,16,1648459877,91194.26080545456,2022-03-28 09:31:17,30,0.5,297.9166666666667,0.3552760416666667,0.913029411764706,0.5354635416666667,2634816.0,18.052,8,33934.71666666667
3,17,1648459892,129886.11099392612,2022-03-28 09:31:32,45,0.75,492.75,0.4665833333333333,0.7655510204081633,0.3453854166666666,2855322.0,17.85125,8,70098.33333333334
4,18,1648459907,150467.0681356897,2022-03-28 09:31:47,60,1.0,657.0,0.5725208333333334,0.9389215686274508,0.1670729166666667,2875992.0,14.706500000000002,8,112441.45
5,19,1648459922,149606.18181818182,2022-03-28 09:32:02,75,1.25,691.9166666666667,0.5543281249999998,0.9275510204081632,0.1700520833333333,2875992.0,9.247875,8,151329.43333333335
6,20,1648459937,148701.4,2022-03-28 09:32:17,90,1.5,685.6666666666666,0.5496927083333335,0.9223923569427772,0.1763229166666666,2555127.0,4.555749999999999,8,177099.96666666667
7,21,1648459952,147727.54545454544,2022-03-28 09:32:32,105,1.75,656.0,0.5783697916666667,0.8797745098039216,0.1693645833333333,2555127.0,0.551125,8,190025.9
8,22,1648459967,146889.61818181816,2022-03-28 09:32:47,120,2.0,539.75,0.5539322916666665,0.909686274509804,0.2542291666666667,1045821.0,0.031375,8,187279.7666666667
9,23,1648459982,145211.2617718288,2022-03-28 09:33:02,135,2.25,398.16666666666674,0.4960989583333334,0.8268367346938775,0.367046875,1045821.0,0.045875,8,173731.51666666666
10,24,1648459997,143769.23636363636,2022-03-28 09:33:17,150,2.5,266.0,0.4475520833333333,0.8374411764705882,0.4753072916666667,80259.0,0.079,8,159294.18333333335
11,25,1648460012,141694.4,2022-03-28 09:33:32,165,2.75,118.25,0.393875,0.6953677721088436,0.5842552083333333,84315.0,0.054,8,145637.18333333332
12,26,1648460027,141958.0181818182,2022-03-28 09:33:47,180,3.0,50.58333333333333,0.3604010416666667,0.8102745098039216,0.6256875000000001,72411.0,0.083125,8,142131.33333333334
13,27,1648460042,143921.27272727274,2022-03-28 09:34:02,195,3.25,45.0,0.3323020833333333,0.746,0.6492447916666668,95007.0,0.04275,8,143122.8833333333
14,28,1648460057,145577.72727272726,2022-03-28 09:34:17,210,3.5,96.0,0.3194166666666667,0.7608921568627451,0.6512760416666666,90291.0,0.253625,8,144704.06666666665
15,29,1648460072,147367.28593046046,2022-03-28 09:34:32,225,3.75,126.41666666666669,0.3044843749999999,0.6720126050420168,0.6476302083333334,112812.0,0.02775,8,146916.59999999998
16,30,1648460087,147917.23636363636,2022-03-28 09:34:47,240,4.0,145.08333333333331,0.3056770833333334,0.7634877951180473,0.64678125,103593.0,0.066,8,148695.36666666667
17,31,1648460102,147232.81818181818,2022-03-28 09:35:02,255,4.25,145.16666666666666,0.2980833333333333,0.5634897959183673,0.6619270833333334,103593.0,0.012875,8,148142.18333333335
18,32,1648460117,146511.9090909091,2022-03-28 09:35:17,270,4.5,112.33333333333334,0.2983697916666666,0.8140392156862746,0.6760052083333333,78123.0,0.141625,8,147757.03333333333
19,33,1648460132,146259.85735786313,2022-03-28 09:35:32,285,4.75,60.5,0.31903125,0.7719583333333334,0.6685104166666668,103191.0,0.103125,8,146209.4
20,34,1648460147,146162.61818181816,2022-03-28 09:35:47,300,5.0,60.083333333333336,0.3309322916666666,0.7843333333333333,0.654078125,100167.0,0.063625,8,146344.46666666667
21,35,1648460162,146953.27530664075,2022-03-28 09:36:02,315,5.25,75.33333333333333,0.3427083333333334,0.6756530612244899,0.6411927083333334,104613.0,0.009875,8,147233.75
22,36,1648460177,147328.83636363636,2022-03-28 09:36:17,330,5.5,71.41666666666667,0.3279322916666667,0.7714149659863945,0.6558645833333334,86343.0,0.438375,8,146470.76666666666
23,37,1648460192,147901.87272727274,2022-03-28 09:36:32,345,5.75,80.08333333333333,0.3334375,0.7413673469387754,0.6382656250000001,161772.0,0.073875,8,147551.68333333335
24,38,1648460207,146229.5090909091,2022-03-28 09:36:47,360,6.0,67.75,0.350109375,0.7300980392156863,0.6243125,161772.0,0.10675,8,148032.73333333334
25,39,1648460222,141840.21818181817,2022-03-28 09:37:02,375,6.25,87.16666666666666,0.3796614583333332,0.7901224489795918,0.5886354166666666,161979.0,0.0746249999999999,8,143187.16666666666
26,40,1648460237,137121.99999999997,2022-03-28 09:37:17,390,6.5,135.91666666666666,0.3973906249999999,0.7721470588235294,0.5475520833333333,117573.0,0.1085,8,139904.01666666666
27,41,1648460252,132687.10909090907,2022-03-28 09:37:32,405,6.75,106.75,0.3943177083333333,0.7330612244897959,0.5653072916666666,118461.0,0.011,8,135961.78333333335
28,42,1648460267,131187.5090909091,2022-03-28 09:37:47,420,7.0,122.45454545454548,0.36871064814814813,0.7758569501874824,0.2703395721925133,939935.0,10.25775,9,0.0
29,43,1648460282,131194.16363636364,2022-03-28 09:38:02,435,7.25,730.0,0.3431035879629629,0.192284307103456,0.3888400210084033,1761409.0,26.571444444444445,9,2132.2333333333336
30,44,1648460297,131662.47272727272,2022-03-28 09:38:17,450,7.5,843.5714285714286,0.31749652777777776,0.6543134731171165,0.4552256302521009,3453653.0,39.69233333333334,9,3633.55
31,45,1648460312,131577.61818181816,2022-03-28 09:38:32,465,7.75,852.1,0.2918894675925926,0.3404433978719693,0.47417807486631,5957936.0,47.23066666666666,9,19911.18333333333
32,46,1648460327,132087.30909090908,2022-03-28 09:38:47,480,8.0,923.9166666666669,0.2662824074074074,0.5417777777777777,0.3461157407407407,6758193.0,49.11877777777778,9,43666.7
33,47,1648460342,133604.0,2022-03-28 09:39:02,495,8.25,913.0833333333331,0.2980925925925926,0.954947490107154,0.3219444444444445,6973824.0,49.37733333333333,9,73279.65
34,48,1648460357,134838.81818181818,2022-03-28 09:39:17,510,8.5,840.8333333333333,0.4169212962962963,0.8146928104575163,0.248199074074074,7128599.0,46.81944444444444,9,106637.7
35,49,1648460372,136071.4,2022-03-28 09:39:32,525,8.75,801.9166666666666,0.4835324074074074,0.8498845564722005,0.2069675925925926,7293464.0,45.641333333333336,9,125028.81666666668
36,50,1648460387,136527.0727272727,2022-03-28 09:39:47,540,9.0,770.3333333333333,0.4377481481481481,0.7259669034280378,0.0747179669030733,9347156.0,68.9949,12,0.0
37,51,1648460402,137287.9113452496,2022-03-28 09:40:02,555,9.25,784.8000000000001,0.3919638888888889,0.3652448979591837,0.1765910840932117,11400848.0,90.4015,12,3889.5166666666655
38,52,1648460417,138082.91886374794,2022-03-28 09:40:17,570,9.5,840.375,0.3461796296296296,0.5748929971448768,0.2104446555217832,13843722.0,99.39766666666664,12,12173.483333333334
39,53,1648460432,138717.5810882379,2022-03-28 09:40:32,585,9.75,873.1,0.30039537037037034,0.7281696678671469,0.2390225974025973,14539160.0,104.92566666666669,12,36145.53333333333
40,54,1648460447,137442.39999999997,2022-03-28 09:40:47,600,10.0,957.25,0.2546111111111111,0.7658692810457518,0.3538854166666667,15073216.0,107.34583333333336,12,64897.9
41,55,1648460462,134075.8347422372,2022-03-28 09:41:02,615,10.25,939.25,0.26546875,0.8598408696812059,0.3424826388888889,15077436.0,101.20266666666669,12,103556.2
42,56,1648460477,130664.54545454544,2022-03-28 09:41:17,630,10.5,892.5833333333333,0.3521458333333334,0.8101631319194345,0.2866493055555555,15020306.0,95.39491666666667,12,140483.75
