,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,14,1648892552,8180.388022987462,2022-04-02 09:42:32,0,0.0,0.0,0.0,0.103953381352541,0.0,0.0,0.0,0,0.0
1,15,1648892567,46985.64058472836,2022-04-02 09:42:47,15,0.25,0.0,0.0,0.9965,0.1091874999999999,0.0,13.821875,8,0.0
2,16,1648892582,86155.9466469697,2022-04-02 09:43:02,30,0.5,302.8,0.0,0.995029411764706,0.1193222222222222,3905211.0,28.868,8,6844.299999999999
3,17,1648892597,125396.77534622306,2022-04-02 09:43:17,45,0.75,490.0,0.0,0.8279019607843138,0.1100891203703703,5375088.0,35.701875,8,26474.38333333333
4,18,1648892612,149976.54545454544,2022-04-02 09:43:32,60,1.0,598.3636363636364,0.7260196280991736,0.733656662665066,0.1301615013774104,5707158.0,37.35575,8,58002.70000000001
5,19,1648892627,149377.22220815351,2022-04-02 09:43:47,75,1.25,696.5,0.5495781250000001,0.928905362144858,0.189046875,5862723.0,34.94149999999999,8,99511.21666666666
6,20,1648892642,148771.1090909091,2022-04-02 09:44:02,90,1.5,749.5833333333334,0.5244322916666667,0.8368979591836734,0.180984375,5862723.0,33.019375,8,138143.84999999998
7,21,1648892657,147820.67272727273,2022-04-02 09:44:17,105,1.75,733.5,0.5042916666666666,0.8939313725490197,0.1950833333333333,5584536.0,28.753,8,163334.68333333335
8,22,1648892672,147077.56363636363,2022-04-02 09:44:32,120,2.0,667.7499999999999,0.5537916666666669,0.9430714285714286,0.1640729166666666,5472900.0,24.481124999999995,8,177531.96666666667
9,23,1648892687,145528.32727272727,2022-04-02 09:44:47,135,2.25,677.3333333333334,0.5686666666666668,0.8607933173269308,0.1531041666666666,4797333.0,21.969,8,180671.45
10,24,1648892702,143946.37163805612,2022-04-02 09:45:02,150,2.5,685.8333333333334,0.546734375,0.9387551020408164,0.1659375,4521942.0,17.76025,8,179625.21666666667
11,25,1648892717,142197.0045297515,2022-04-02 09:45:17,165,2.75,639.5,0.5483802083333332,0.7647244897959183,0.1653333333333333,3795900.0,15.193125,8,178501.51666666666
12,26,1648892732,141889.34545454546,2022-04-02 09:45:32,180,3.0,665.25,0.5033645833333333,0.805425431711146,0.19234375,3479520.0,11.322125,8,178586.73333333334
13,27,1648892747,143806.4909090909,2022-04-02 09:45:47,195,3.25,728.3333333333334,0.4849739583333333,0.84889592760181,0.2083802083333333,2956536.0,9.66675,8,173947.48333333334
14,28,1648892762,145524.3818181818,2022-04-02 09:46:02,210,3.5,745.1666666666667,0.4975729166666667,0.831891506602641,0.1971145833333333,2573763.0,7.786125,8,169232.15
15,29,1648892777,147172.0727272727,2022-04-02 09:46:17,225,3.75,676.0833333333333,0.5014166666666667,0.8531764705882352,0.2048385416666666,2006850.0,3.55975,8,174372.5
16,30,1648892792,148083.9818181818,2022-04-02 09:46:32,240,4.0,588.1666666666667,0.497,0.7787597038815526,0.25415625,1799229.0,0.0825,8,174519.73333333334
17,31,1648892807,147359.23834321246,2022-04-02 09:46:47,255,4.25,427.1666666666666,0.4632708333333333,0.6540310124049619,0.3633333333333333,862830.0,0.033875,8,171327.0833333333
18,32,1648892822,146637.25454545452,2022-04-02 09:47:02,270,4.5,323.25,0.3975364583333333,0.6315408163265306,0.5045572916666667,752622.0,0.021125,8,169170.21666666665
19,33,1648892837,146134.72727272726,2022-04-02 09:47:17,285,4.75,128.75000000000003,0.328015625,0.6529489795918368,0.6381041666666667,53232.0,0.04175,8,157020.13333333333
20,34,1648892852,146081.69423128414,2022-04-02 09:47:32,300,5.0,15.916666666666666,0.2877864583333334,0.7499019607843137,0.7102083333333333,52836.0,0.095625,8,146844.78333333333
21,35,1648892867,146951.18181818182,2022-04-02 09:47:47,315,5.25,26.75,0.2985,0.7782549019607844,0.6931302083333333,64527.0,0.0825,8,146751.81666666668
22,36,1648892882,147143.93295227265,2022-04-02 09:48:02,330,5.5,41.91666666666666,0.3400885416666667,0.7277492997198879,0.6498020833333332,70347.0,0.0345,8,146829.21666666667
23,37,1648892897,147819.8727272727,2022-04-02 09:48:17,345,5.75,92.08333333333334,0.3703437499999999,0.6795816326530613,0.609984375,95391.0,0.0284999999999999,8,147554.5166666667
24,38,1648892912,146822.0181818182,2022-04-02 09:48:32,360,6.0,92.08333333333331,0.3580364583333334,0.5575904361744697,0.6224166666666667,88179.0,0.037,8,148633.45
25,39,1648892927,142613.54545454544,2022-04-02 09:48:47,375,6.25,77.41666666666667,0.312,0.5172156862745099,0.6759791666666666,46977.0,0.030125,8,144538.15
26,40,1648892942,137823.70909090908,2022-04-02 09:49:02,390,6.5,76.75,0.2454687499999999,0.5067959183673468,0.7438854166666666,41745.0,0.01425,8,139481.15000000002
27,41,1648892957,133573.6727272727,2022-04-02 09:49:17,405,6.75,4.545454545454546,0.4205220385674931,0.5689795918367347,0.579090564738292,550590.0,8.506,8,17098.95
28,42,1648892972,131397.4909090909,2022-04-02 09:49:32,420,7.0,522.3333333333333,0.5107410130718955,0.8366666666666666,0.426704248366013,2379408.0,14.7285,6,15812.516666666666
29,43,1648892987,131462.36363636365,2022-04-02 09:49:47,435,7.25,524.3333333333334,0.4833029411764706,0.917906095771642,0.4386862745098038,2394964.0,9.460166666666666,6,58788.68333333333
30,44,1648893002,131684.43636363634,2022-04-02 09:50:02,450,7.5,583.3333333333333,0.4792136437908497,0.9417132186207816,0.4382091503267975,2402616.0,10.137166666666667,6,101559.8
31,45,1648893017,131490.54545454544,2022-04-02 09:50:17,465,7.75,519.0,0.6003844696969698,0.8434448446045085,0.174028409090909,2402616.0,0.2505,6,150684.43333333332
32,46,1648893032,131801.8,2022-04-02 09:50:32,480,8.0,436.0833333333333,0.5410138888888889,0.7634651193810857,0.2651527777777778,2139908.0,0.1463333333333333,6,169391.11666666667
33,47,1648893047,133202.83636363636,2022-04-02 09:50:47,495,8.25,322.75,0.5135416666666667,0.789578231292517,0.3469930555555555,2139908.0,0.2283333333333333,6,160065.8166666667
34,48,1648893062,134489.1818181818,2022-04-02 09:51:02,510,8.5,266.75,0.474625,0.7655939709217021,0.4127152777777778,142984.0,0.4496666666666666,6,150560.85
35,49,1648893077,135910.30909090908,2022-04-02 09:51:17,525,8.75,196.75,0.4253819444444444,0.7424444444444445,0.4893333333333334,154896.0,0.0493333333333333,6,136495.81666666665
36,50,1648893092,136556.9090909091,2022-04-02 09:51:32,540,9.0,166.08333333333334,0.4104652777777778,0.8291199146325197,0.515701388888889,150052.0,0.0685,6,136279.66666666666
37,51,1648893107,137276.09090909088,2022-04-02 09:51:47,555,9.25,154.33333333333331,0.3913333333333333,0.7693202614379085,0.5394097222222223,150052.0,0.06,6,137635.73333333334
38,52,1648893122,137857.41818181815,2022-04-02 09:52:02,570,9.5,119.41666666666669,0.3784027777777777,0.7446650660264106,0.5811527777777777,80216.0,0.0303333333333333,6,138502.4
39,53,1648893137,138775.16363636364,2022-04-02 09:52:17,585,9.75,54.91666666666667,0.3673819444444444,0.7006666666666667,0.6116250000000001,84640.0,0.0508333333333333,6,138868.81666666665
40,54,1648893152,138074.59999999998,2022-04-02 09:52:32,600,10.0,53.333333333333336,0.3494236111111111,0.6363331999466453,0.6295486111111112,84640.0,0.0525,6,138861.01666666666
41,55,1648893167,134687.47272727272,2022-04-02 09:52:47,615,10.25,43.75,0.3272777777777778,0.6312380952380953,0.6569722222222222,84640.0,0.0386666666666666,6,135827.30000000002
42,56,1648893182,131302.5090909091,2022-04-02 09:53:02,630,10.5,24.666666666666664,0.3099375,0.6080000000000001,0.6840277777777777,52992.0,0.0543333333333333,6,132663.0833333333
43,57,1648893197,127795.67272727271,2022-04-02 09:53:17,645,10.75,14.916666666666666,0.2982638888888889,0.6066666666666667,0.6977291666666667,53828.0,0.0363333333333333,6,128535.03333333333
44,58,1648893212,126312.90909090907,2022-04-02 09:53:32,660,11.0,10.916666666666668,0.2896388888888889,0.6274640522875816,0.7083611111111112,51692.0,0.0568333333333333,6,125929.8
45,59,1648893227,127421.2909090909,2022-04-02 09:53:47,675,11.25,16.416666666666664,0.2882847222222222,0.6206802721088435,0.7085069444444444,51692.0,0.0361666666666666,6,127235.2
46,60,1648893242,128176.10909090909,2022-04-02 09:54:02,690,11.5,20.666666666666668,0.2842222222222222,0.6078954248366013,0.7120416666666668,46540.0,0.0696666666666666,6,128066.98333333334
47,61,1648893257,128931.34545454544,2022-04-02 09:54:17,705,11.75,21.0,0.288361111111111,0.6240544217687075,0.7077361111111111,47692.0,0.0498333333333333,6,128939.83333333331
48,62,1648893272,128187.50909090908,2022-04-02 09:54:32,720,12.0,22.83333333333333,0.2931319444444444,0.5686666666666667,0.7023541666666668,47652.0,0.0483333333333333,6,129422.95
49,63,1648893287,123955.7818181818,2022-04-02 09:54:47,735,12.25,14.916666666666666,0.2819652777777777,0.5586394557823129,0.7150000000000001,47652.0,0.0545,6,124448.73333333332
50,64,1648893302,119653.5090909091,2022-04-02 09:55:02,750,12.5,12.454545454545457,0.5659913636363637,0.359469387755102,0.4321204545454545,224312.0,4.93425,6,0.0
51,65,1648893317,115623.2909090909,2022-04-02 09:55:17,765,12.75,464.0,0.6047000425170068,0.8914693877551021,0.348078656462585,1397502.0,6.06125,4,20814.93333333333
52,66,1648893332,113025.41818181815,2022-04-02 09:55:32,780,13.0,468.8,0.5734815476190476,0.9528571428571428,0.3705761904761904,1397718.0,0.87625,4,63144.350000000006
53,67,1648893347,110660.5090909091,2022-04-02 09:55:47,795,13.25,410.0,0.5550982142857144,0.7521224489795919,0.3947847222222222,1397718.0,0.224,4,91167.3
54,68,1648893362,108287.81818181818,2022-04-02 09:56:02,810,13.5,345.5833333333333,0.648719696969697,0.8063265306122449,0.2345598484848485,1397718.0,0.221,4,117484.43333333332
55,69,1648893377,105862.83636363636,2022-04-02 09:56:17,825,13.75,271.9166666666667,0.50709375,0.787,0.3716875,90156.0,0.194,4,123103.18333333332
