,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,14,1648401502,13467.807735754644,2022-03-27 17:18:22,0,0.0,91.27272727272728,0.0,0.9951067119155356,0.4284145743145742,339099.0,7.194499999999998,8,484.3666666666666
1,15,1648401517,31661.89473362769,2022-03-27 17:18:37,15,0.25,296.33333333333337,0.2264645833333333,0.9896470588235295,0.6815833333333332,790368.0,10.073375,8,3123.5999999999995
2,16,1648401532,49787.58292147462,2022-03-27 17:18:52,30,0.5,488.1666666666667,0.2746187499999999,0.937033588435374,0.59059375,911079.0,9.272125,8,11322.033333333333
3,17,1648401547,67951.32721910303,2022-03-27 17:19:07,45,0.75,669.1666666666666,0.3477374999999998,0.9491836734693878,0.4839375000000001,913230.0,6.2705625,8,22400.45
4,18,1648401562,68455.95840878514,2022-03-27 17:19:22,60,1.0,797.0,0.329275,0.9716608335641947,0.4824520833333334,736419.0,3.3540625,8,33743.683333333334
5,19,1648401577,67916.03636363636,2022-03-27 17:19:37,75,1.25,717.0,0.3065145833333334,0.9286798676917576,0.5602770833333334,737928.0,0.524375,8,42542.0
6,20,1648401592,67481.23636363636,2022-03-27 17:19:52,90,1.5,672.6666666666666,0.2737624999999999,0.8545874349739895,0.6159812500000001,433743.0,0.0609999999999999,8,43659.11666666667
7,21,1648401607,66930.0909090909,2022-03-27 17:20:07,105,1.75,524.1666666666666,0.2424395833333333,0.816030012004802,0.6736854166666666,433938.0,0.01,8,40345.03333333334
8,22,1648401622,66885.23965668328,2022-03-27 17:20:22,120,2.0,373.83333333333337,0.2045791666666666,0.764421568627451,0.7382124999999999,21087.0,0.0196875,8,35769.86666666667
9,23,1648401637,66639.27272727272,2022-03-27 17:20:37,135,2.25,234.75,0.1606875,0.7215570228091236,0.8065333333333334,21087.0,0.008375,8,31777.2
10,24,1648401652,66432.01818181819,2022-03-27 17:20:52,150,2.5,123.49999999999996,0.1286020833333333,0.6048137254901961,0.8553270833333332,5343.0,0.018,8,29955.0
11,25,1648401667,66360.78460658518,2022-03-27 17:21:07,165,2.75,69.66666666666667,0.1046041666666666,0.5514707883153261,0.8863125000000001,5937.0,0.00325,8,29238.283333333333
12,26,1648401682,66798.63636363635,2022-03-27 17:21:22,180,3.0,42.75,0.0830416666666666,0.558,0.9124645833333336,1347.0,0.00575,8,28671.466666666667
13,27,1648401697,67147.48755750313,2022-03-27 17:21:37,195,3.25,34.91666666666667,0.0705458333333333,0.5330450180072028,0.9256020833333334,1941.0,0.0370624999999999,8,28293.466666666667
14,28,1648401712,67571.9458313707,2022-03-27 17:21:52,210,3.5,8.666666666666666,0.0612499999999999,0.5710769230769231,0.9380145833333332,690.0,0.00475,8,27617.766666666663
15,29,1648401727,67875.55304556529,2022-03-27 17:22:07,225,3.75,9.333333333333334,0.056875,0.5467653061224491,0.9425375,867.0,0.0041875,8,27769.666666666664
16,30,1648401742,67702.948783648,2022-03-27 17:22:22,240,4.0,9.25,0.0564395833333333,0.5546666666666666,0.9428708333333332,339.0,0.0045,8,7021.283333333333
17,31,1648401757,67193.01818181817,2022-03-27 17:22:37,255,4.25,225.33333333333331,0.1347280864197531,1.0,0.8540336419753086,564288.0,18.1155,1,92.56666666666666
18,32,1648401772,66854.66844725341,2022-03-27 17:22:52,270,4.5,417.33333333333337,0.1253888888888888,0.996,0.855448148148148,1688256.0,26.649,1,1212.6166666666666
19,33,1648401787,66613.3090909091,2022-03-27 17:23:07,285,4.75,488.5555555555556,0.1196271604938271,0.996,0.85719012345679,2324064.0,39.4435,1,2552.2166666666667
20,34,1648401802,66707.2,2022-03-27 17:23:22,300,5.0,501.4166666666667,0.6237666666666667,0.996,0.17265,3226344.0,52.8915,1,3799.783333333333
