,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,13,1646815949,13201.296565757577,2022-03-09 08:52:29,0,0.0,258.33333333333337,0.0,0.8755102040816326,0.2685585585585586,288517.0,2.8175000000000003,4,243.82916666666665
1,14,1646815964,27349.61572515152,2022-03-09 08:52:44,15,0.25,466.3333333333333,0.0,0.542921568627451,0.4276611111111111,569741.5,5.164875,4,1905.0166666666669
2,15,1646815979,41497.90030484849,2022-03-09 08:52:59,30,0.5,508.77777777777777,0.3395404040404041,0.6063529411764705,0.6286969696969698,757817.0,6.872,4,4401.166666666666
3,16,1646815994,54987.19553272727,2022-03-09 08:53:14,45,0.75,503.8333333333333,0.2468291666666666,0.5937755102040816,0.7175333333333334,898934.0,8.205875,4,7513.875
4,17,1646816009,54993.8,2022-03-09 08:53:29,60,1.0,592.6666666666666,0.1660166666666666,0.5575714285714286,0.7906666666666667,1029604.5,9.346625,4,10438.033333333333
5,18,1646816024,55000.21818181818,2022-03-09 08:53:44,75,1.25,585.0833333333334,0.1638166666666666,0.527,0.7930041666666666,1155245.5,10.507625,4,11924.970833333333
6,19,1646816039,55000.18181818181,2022-03-09 08:53:59,90,1.5,579.3333333333333,0.1641874999999999,0.5347755102040816,0.7920708333333333,1274737.5,11.56475,4,12643.845833333336
7,20,1646816054,55000.21818181818,2022-03-09 08:54:14,105,1.75,622.25,0.1622708333333333,0.4950392156862745,0.7918583333333332,1404139.0,12.749,4,12695.1625
8,21,1646816069,54975.74545454545,2022-03-09 08:54:29,120,2.0,636.8333333333333,0.1612083333333333,0.4802352941176471,0.7918791666666667,1514773.5,13.744374999999998,4,12862.325
9,22,1646816084,55000.21818181818,2022-03-09 08:54:44,135,2.25,629.5,0.1625666666666666,0.5260392156862745,0.7912,1625121.0,14.828499999999996,4,13168.841666666667
10,23,1646816099,55000.18181818181,2022-03-09 08:54:59,150,2.5,676.5833333333334,0.1600874999999999,0.5042745098039215,0.7913041666666666,1723286.5,15.639125,4,13561.416666666666
11,24,1646816114,55000.21818181818,2022-03-09 08:55:14,165,2.75,693.75,0.1600041666666666,0.523,0.7899291666666665,1818843.5,16.5025,4,14078.179166666669
12,25,1646816129,55000.18181818181,2022-03-09 08:55:29,180,3.0,681.1666666666666,0.1618875,0.5080000000000001,0.7893125,1878258.0,17.102625,4,14725.7
13,26,1646816144,55000.21818181818,2022-03-09 08:55:44,195,3.25,692.5833333333333,0.162925,0.5056274509803922,0.7884541666666669,1959159.5,17.7555,4,15029.029166666667
14,27,1646816159,55000.18181818181,2022-03-09 08:55:59,210,3.5,665.0,0.164925,0.5770000000000001,0.7888125,2057649.5,18.502625,4,15116.033333333333
15,28,1646816174,55000.21818181818,2022-03-09 08:56:14,225,3.75,644.4166666666666,0.1660916666666667,0.48,0.7890124999999999,2106664.0,19.196375,4,15368.029166666667
16,29,1646816189,55000.18181818181,2022-03-09 08:56:29,240,4.0,677.75,0.1638875,0.4761176470588235,0.7897041666666667,2238311.5,20.331625,4,14579.4375
17,30,1646816204,55000.21818181818,2022-03-09 08:56:44,255,4.25,662.75,0.1638541666666666,0.578,0.7902,2277682.0,20.585625,4,15111.9875
18,31,1646816219,55000.18181818181,2022-03-09 08:56:59,270,4.5,650.8333333333334,0.1648791666666667,0.5085294117647059,0.7894291666666667,2320269.0,20.981125,4,15627.2625
19,32,1646816234,55000.21818181818,2022-03-09 08:57:14,285,4.75,656.4166666666666,0.1646791666666667,0.519,0.7894625,2389107.0,21.632125,4,15585.408333333333
20,33,1646816249,55000.18181818181,2022-03-09 08:57:29,300,5.0,630.0000000000001,0.1665416666666666,0.586,0.7891999999999999,2456812.0,22.312375,4,16321.679166666669
21,34,1646816264,55000.21818181818,2022-03-09 08:57:44,315,5.25,643.5,0.1654166666666667,0.493,0.7887541666666666,2526612.5,23.027875,4,15896.075
22,35,1646816279,55000.18181818181,2022-03-09 08:57:59,330,5.5,664.9999999999999,0.1623749999999999,0.506,0.7899666666666666,2616576.5,23.78925,4,15489.6625
23,36,1646816294,55000.21818181818,2022-03-09 08:58:14,345,5.75,660.0833333333333,0.1640625,0.496,0.7882750000000001,2672339.5,24.225125,4,15619.304166666663
