timestamp,__name__,value
1648377191,lag,NaN
1648377206,lag,0
1648377221,lag,13362
1648377236,lag,1924221
1648377251,lag,2779164
1648377266,lag,2821029
1648377281,lag,2689896
1648377296,lag,2503359
1648377311,lag,2097714
1648377326,lag,136476
1648377341,lag,134550
1648377356,lag,45810
1648377371,lag,44313
1648377386,lag,26847
1648377401,lag,25725
1648377416,lag,13731
1648377431,lag,18345
1648377446,lag,17532
1648377461,lag,48207
1648377476,lag,41652
1648377491,lag,4624632
1648377506,lag,6776544
1648377521,lag,9071364
1648377536,lag,10803924
1648377551,lag,12720996
1648377566,lag,14796888
1648377581,lag,16431708
1648377596,lag,17971068
1648377611,lag,19594476
1648377626,lag,21302844
1648377641,lag,22757076
1648377656,lag,24449352
1648377671,lag,26064684
1648377686,lag,27762144
1648377701,lag,29076036
1648377716,lag,30597528
1648377731,lag,31942032
1648377746,lag,33424464
1648377761,lag,22564232
1648377776,lag,35575744
1648377791,lag,36412808
1648377806,lag,36967080
1648377821,lag,37148312
1648377836,lag,37260920
1648377851,lag,37427184
1648377866,lag,37527400
1648377881,lag,37520944
1648377896,lag,37520944
1648377911,lag,37389024
1648377926,lag,37201624
1648377941,lag,36929576
1648377956,lag,36527904
1648377971,lag,36349992
1648377986,lag,36214064
1648378001,lag,35883840
1648378016,lag,35379504
1648378031,lag,35058264
1648378046,lag,34658568
1648378061,lag,33802608
1648378076,lag,33074920
1648378091,lag,32308792
1648378106,lag,31530176
1648378121,lag,30525992
1648378136,lag,29883952
1648378151,lag,29140432
1648378166,lag,28717680
1648378181,lag,27701544
1648378196,lag,27145824
1648378211,lag,26203016
1648378226,lag,25323144
1648378241,lag,23789648
1648378256,lag,22674112
1648378271,lag,21316192
1648378286,lag,20251208
1648378301,lag,18633840
1648378316,lag,17458800
1648378331,lag,16081200
1648378346,lag,14827976
1648378361,lag,13169624
1648378376,lag,11910088
1648378391,lag,10104536
1648378406,lag,8504512
1648378421,lag,6985160
1648378436,lag,6985160
1648378451,lag,5361384
1648378466,lag,5358400
1648378481,lag,1506024
1648378496,lag,1530192
1648378511,lag,1530192
1648378526,lag,1530192
1648378541,lag,90480
1648378556,lag,90480
1648378571,lag,91536
1648378586,lag,91536
1648378601,lag,66372
1648378616,lag,66372
1648378631,lag,60324
1648378646,lag,99840
1648378661,lag,99840
1648378676,lag,99840
1648378691,lag,64968
1648378706,lag,64968
1648378721,lag,1168920
1648378736,lag,1178448
1648378751,lag,1178448
1648378766,lag,1178448
1648378781,lag,567720
1648378796,lag,567720
1648378811,lag,70920
1648378826,lag,70920
1648378841,lag,70824
1648378856,lag,70824
1648378871,lag,52992
1648378886,lag,72360
1648378901,lag,77472
1648378916,lag,77472
1648378931,lag,76584
1648378946,lag,76584
1648378961,lag,75840
1648378976,lag,75840
1648378991,lag,75840
1648379006,lag,75840
1648379021,lag,67008
1648379036,lag,67008
1648379051,lag,76560
1648379066,lag,90312
1648379081,lag,90312
1648379096,lag,90312
1648379111,lag,76200
1648379126,lag,76200
1648379141,lag,66000
1648379156,lag,71112
1648379171,lag,71112
1648379186,lag,98208
1648379201,lag,98208
1648379216,lag,98208
1648379231,lag,87504
1648379246,lag,93576
1648379261,lag,93576
1648379276,lag,93576
1648379291,lag,81936
1648379306,lag,81936
1648379321,lag,110568
1648379336,lag,110568
1648379351,lag,81480
1648379366,lag,102504
1648379381,lag,102504
1648379396,lag,102504
1648379411,lag,81864
1648379426,lag,81864
1648379441,lag,89952
1648379456,lag,118512
1648379471,lag,118512
1648379486,lag,118512
1648379501,lag,100104
1648379516,lag,207672
1648379531,lag,272904
1648379546,lag,356760
1648379561,lag,656136
1648379576,lag,775656
1648379591,lag,922944
1648379606,lag,949680
1648379621,lag,949680
1648379636,lag,966672
1648379651,lag,1412280
1648379666,lag,1847112
1648379681,lag,2143104
1648379696,lag,2626272
1648379711,lag,2934624
1648379726,lag,3327432
1648379741,lag,3881232
1648379756,lag,2041668
1648379771,lag,4899180
1648379786,lag,5871024
1648379801,lag,6116448
1648379816,lag,5672232
1648379831,lag,5708088
1648379846,lag,5181888
1648379861,lag,5333040
1648379876,lag,4979136
1648379891,lag,4983252
1648379906,lag,4505784
1648379921,lag,4505784
1648379936,lag,4713636
