,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,2,2022-09-29 11:08:45,22279.24650666667,2022-09-29 11:08:45,0,0.0,0.0,1.0,0.3374975792581007,0.0,0.0,0.0,5.0,0.0
1,3,2022-09-29 11:09:00,88085.48922545454,2022-09-29 11:09:00,15,0.25,0.0,0.8446277777777779,0.9970961538461538,0.1553722222222222,4210785.0,19.3395,8.0,1384.7666666666669
2,4,2022-09-29 11:09:15,154302.38813393938,2022-09-29 11:09:15,30,0.5,32.5,0.7358255555555555,0.9965588235294116,0.2671333333333333,6070368.0,21.42225,8.0,40833.8
3,5,2022-09-29 11:09:30,220359.10760303028,2022-09-29 11:09:30,45,0.75,56.125,0.6925435185185185,0.9704159663865546,0.2997541666666666,6070368.0,5.957999999999999,8.0,159276.0
4,6,2022-09-29 11:09:45,248598.0727272727,2022-09-29 11:09:45,60,1.0,62.4,0.8006135472370767,0.8565228758169935,0.1937525846702317,930137.0,0.4244444444444444,9.0,30484.33333333333
5,7,2022-09-29 11:10:00,246464.30909090905,2022-09-29 11:10:00,75,1.25,78.0,0.5469131263616559,0.7463465386154461,0.4429656862745098,840989.0,1.736666666666667,9.0,50167.8
6,8,2022-09-29 11:10:15,244930.7818181818,2022-09-29 11:10:15,90,1.5,105.83333333333331,0.47710584604212064,0.7981370381485926,0.4328252688172043,2039451.0,1.1728,12.0,13306.766666666666
7,9,2022-09-29 11:10:30,242171.21818181817,2022-09-29 11:10:30,105,1.75,104.0,0.4072985657225854,0.7821226730053723,0.3267906666666665,3237913.0,7.913312499999999,16.0,22180.016666666663
8,10,2022-09-29 11:10:45,241673.09090909088,2022-09-29 11:10:45,120,2.0,64.6,0.3374912854030502,0.606032738095238,0.4226772277227721,3656631.0,3.430624999999999,16.0,105562.78333333333
9,11,2022-09-29 11:11:00,240961.8,2022-09-29 11:11:00,135,2.25,71.75,0.2676840050835149,0.4666264604245953,0.5230261276127611,3656631.0,0.3530000000000001,16.0,181213.7333333333
10,12,2022-09-29 11:11:15,239260.78181818177,2022-09-29 11:11:15,150,2.5,52.18181818181819,0.19787672476397966,0.4072092025524363,0.5532135642135643,3656631.0,0.0065624999999999,16.0,245423.85
11,13,2022-09-29 11:11:30,238130.07272727272,2022-09-29 11:11:30,165,2.75,47.833333333333336,0.1280694444444444,0.403745066996368,0.8685208333333333,297807.0,0.0019375,16.0,282739.46666666673
12,14,2022-09-29 11:11:45,239849.7454545454,2022-09-29 11:11:45,180,3.0,20.916666666666664,0.0695572916666666,0.374638663455669,0.9291302083333334,300431.0,0.0019999999999999,16.0,259994.18333333332
13,15,2022-09-29 11:12:00,243891.7818181818,2022-09-29 11:12:00,195,3.25,4.416666666666668,0.0483888888888888,0.3763832713473918,0.9515173611111114,32058.0,0.002125,16.0,247648.26666666663
14,16,2022-09-29 11:12:15,248479.52727272725,2022-09-29 11:12:15,210,3.5,0.0833333333333333,0.0439947916666666,0.4091242123275458,0.9560034722222222,36750.0,0.0028125,16.0,247262.7666666667
15,17,2022-09-29 11:12:30,252210.4,2022-09-29 11:12:30,225,3.75,0.0833333333333333,0.0425086805555555,0.3470177883132901,0.9574895833333336,30306.0,0.00175,16.0,251452.6833333333
16,18,2022-09-29 11:12:45,253604.6909090909,2022-09-29 11:12:45,240,4.0,0.0,0.0413437499999999,0.313782695167984,0.95865625,31735.0,0.0334375,16.0,253900.05
17,19,2022-09-29 11:13:00,250156.74545454545,2022-09-29 11:13:00,255,4.25,0.0,0.039828125,0.3381048825597152,0.960171875,16280.0,0.0048125,16.0,251003.65
