,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,5,2022-10-03 13:29:08,189.6119378787879,2022-10-03 13:29:08,0,0.0,0.0,1.0,0.1692339812151582,0.0,0.0,0.0,1.0,0.0
1,6,2022-10-03 13:29:23,17211.580191515153,2022-10-03 13:29:23,15,0.25,0.0,0.8836674999999999,0.9950972850678732,0.0340192307692307,0.0,5.1065,8.0,0.0
2,7,2022-10-03 13:29:38,34874.49890787879,2022-10-03 13:29:38,30,0.5,430.6,0.767335,0.9854199318616336,0.1927538461538461,1403517.0,19.66275,8.0,1376.05
3,8,2022-10-03 13:29:53,52450.70221727273,2022-10-03 13:29:53,45,0.75,622.5,0.6510024999999999,0.9180031925813804,0.2086153846153846,1661589.0,16.769624999999998,8.0,6079.016666666666
4,9,2022-10-03 13:30:08,68778.81818181818,2022-10-03 13:30:08,60,1.0,657.0909090909091,0.53467,0.9562530165912518,0.2828471953578337,1684368.0,10.18025,8.0,18224.48333333333
5,10,2022-10-03 13:30:23,68235.09090909091,2022-10-03 13:30:23,75,1.25,757.0,0.4183374999999999,0.9326734693877552,0.4426062500000001,1487442.0,1.15725,8.0,36885.7
6,11,2022-10-03 13:30:38,67871.8909090909,2022-10-03 13:30:38,90,1.5,631.0,0.3307062500000001,0.6984365572315883,0.5482937500000001,1201725.0,0.0235625,8.0,46114.55
7,12,2022-10-03 13:30:53,67385.94545454545,2022-10-03 13:30:53,105,1.75,436.1666666666667,0.22859375,0.6778605442176869,0.6966937499999999,840528.0,0.0264374999999999,8.0,48356.350000000006
8,13,2022-10-03 13:31:08,67010.16363636364,2022-10-03 13:31:08,120,2.0,284.6666666666667,0.1632041666666666,0.7429571828731494,0.7931104166666668,106110.0,0.0118124999999999,8.0,43465.91666666667
9,14,2022-10-03 13:31:23,66813.99999999999,2022-10-03 13:31:23,135,2.25,125.16666666666669,0.1109354166666666,0.5919757653061225,0.8755416666666664,58581.0,0.01125,8.0,31766.233333333337
10,15,2022-10-03 13:31:38,66693.90909090909,2022-10-03 13:31:38,150,2.5,60.833333333333336,0.0862416666666666,0.513393182805037,0.9057270833333336,10206.0,0.0073749999999999,8.0,27788.4
11,16,2022-10-03 13:31:53,66557.43636363637,2022-10-03 13:31:53,165,2.75,46.83333333333332,0.07699375,0.4943936170212766,0.9156208333333332,8271.0,0.0066249999999999,8.0,27108.83333333333
12,17,2022-10-03 13:32:08,66443.65454545454,2022-10-03 13:32:08,180,3.0,26.166666666666668,0.0635479166666666,0.4885154508611956,0.9325125,4971.0,0.003,8.0,26493.033333333333
13,18,2022-10-03 13:32:23,66928.05454545454,2022-10-03 13:32:23,195,3.25,19.5,0.0532895833333333,0.4719519003253475,0.94381875,4170.0,0.00375,8.0,25881.283333333333
14,19,2022-10-03 13:32:38,67294.18181818181,2022-10-03 13:32:38,210,3.5,15.499999999999998,0.0494354166666666,0.4944625850340136,0.94874375,738.0,0.03275,8.0,25505.533333333336
15,20,2022-10-03 13:32:53,67597.94545454545,2022-10-03 13:32:53,225,3.75,6.75,0.04655625,0.4767458776989056,0.9529979166666664,1254.0,0.00875,8.0,25732.91666666667
16,21,2022-10-03 13:33:08,68015.58181818182,2022-10-03 13:33:08,240,4.0,5.083333333333333,0.045825,0.496717017658127,0.9538125000000004,1368.0,0.0293125,8.0,26032.63333333333
17,22,2022-10-03 13:33:23,67545.83636363636,2022-10-03 13:33:23,255,4.25,5.249999999999999,0.046875,0.4765199739470256,0.9528125,1200.0,0.0602499999999999,8.0,25958.4
