,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,7,2022-09-27 17:55:27,402.7909347857853,2022-09-27 17:55:27,0,0.0,0.0,0.0,0.0553172045977278,0.0,0.0,0.0,0.0,0.0
1,8,2022-09-27 17:55:42,2175.7207121212123,2022-09-27 17:55:42,15,0.25,0.0,0.0,0.2439905051061766,0.0,0.0,0.0,0.0,0.0
2,9,2022-09-27 17:55:57,4927.236472457304,2022-09-27 17:55:57,30,0.5,0.0,0.0,0.2256262439379923,0.0,0.0,0.0,5.0,0.0
3,10,2022-09-27 17:56:12,6224.576670074549,2022-09-27 17:56:12,45,0.75,0.0,0.0,0.3211463964017725,0.0,0.0,0.0,3.0,0.0
4,11,2022-09-27 17:56:27,9141.236363636364,2022-09-27 17:56:27,60,1.0,0.0,0.0,0.658541881868355,0.0,0.0,0.0,8.0,0.0
5,12,2022-09-27 17:56:42,11182.107356154556,2022-09-27 17:56:42,75,1.25,0.0,0.0,0.5608469395305616,0.0122371794871794,0.0,-0.001,8.0,0.0
6,13,2022-09-27 17:56:57,10093.278433583731,2022-09-27 17:56:57,90,1.5,0.0,0.0,0.4684173014502849,0.1861277777777779,0.0,-0.001,8.0,0.0
7,14,2022-09-27 17:57:12,8466.254545454545,2022-09-27 17:57:12,105,1.75,0.0,0.0,0.4118982098333839,0.2946497064579256,0.0,-0.001,4.0,0.0
8,15,2022-09-27 17:57:27,8028.701816857457,2022-09-27 17:57:27,120,2.0,0.0,0.0,0.2841520384377527,0.4845491388044579,0.0,-0.001,6.0,0.0
9,16,2022-09-27 17:57:42,9315.79312094923,2022-09-27 17:57:42,135,2.25,0.0,0.0,0.7864107114933684,0.4190072249589491,292335.0,144.115,5.428571428571429,0.0
10,17,2022-09-27 17:57:57,10312.854545454546,2022-09-27 17:57:57,150,2.5,0.0,0.0,0.0330727361977362,0.5153210727969348,334170.5714285714,123.52700000000002,4.857142857142858,0.0
11,18,2022-09-27 17:58:12,8133.4,2022-09-27 17:58:12,165,2.75,0.0,0.0,0.0640360149110149,0.3193022598870055,376006.14285714284,102.93900000000001,4.285714285714286,0.0
12,19,2022-09-27 17:58:27,6411.527272727271,2022-09-27 17:58:27,180,3.0,0.0,0.0,0.0509089813929753,0.1709708333333333,417841.7142857143,82.351,3.7142857142857144,0.0
13,20,2022-09-27 17:58:42,3187.4,2022-09-27 17:58:42,195,3.25,0.0,0.0,0.0553218997963489,0.11398055555555553,459677.2857142857,61.763000000000005,3.1428571428571432,0.0
14,21,2022-09-27 17:58:57,4178.900057909091,2022-09-27 17:58:57,210,3.5,0.0,0.0,0.0456748802408773,0.056990277777777765,501512.85714285716,41.17500000000001,2.5714285714285716,0.0
15,22,2022-09-27 17:59:12,7159.222210564969,2022-09-27 17:59:12,225,3.75,0.0,0.0,0.2303845737595737,0.0,543348.4285714286,20.587000000000003,2.0,0.0
16,23,2022-09-27 17:59:27,9950.272727272726,2022-09-27 17:59:27,240,4.0,0.0,0.0,0.2086738036324463,0.1713333333333333,585184.0,-0.001,8.0,0.0
17,24,2022-09-27 17:59:42,10934.598213824043,2022-09-27 17:59:42,255,4.25,0.0,0.0,0.468689075847077,0.1426410256410256,627019.5714285714,-0.001,7.0,0.0
18,25,2022-09-27 17:59:57,9656.752044161154,2022-09-27 17:59:57,270,4.5,0.0,0.0,0.7923356587441821,0.1888894927536232,668855.1428571428,-0.001,7.0,0.0
19,26,2022-09-27 18:00:12,7346.507543617161,2022-09-27 18:00:12,285,4.75,0.0,0.0,0.3087085330847904,0.2385821969696969,710690.7142857143,-0.001,8.0,0.0
20,27,2022-09-27 18:00:27,4745.070822564307,2022-09-27 18:00:27,300,5.0,0.0,0.0,0.7893796296296297,0.2057921307506053,752526.2857142857,38.2201875,8.0,0.0
21,28,2022-09-27 18:00:42,4328.290909090909,2022-09-27 18:00:42,315,5.25,0.0,0.0,0.7086673192707675,0.3490733928571429,794361.8571428572,65.1487,4.0,0.0
22,29,2022-09-27 18:00:57,2148.8116465798303,2022-09-27 18:00:57,330,5.5,0.0,0.0,0.4600561839551741,0.3546595959595959,836197.4285714285,-0.001,8.0,0.0
23,30,2022-09-27 18:01:12,1513.2955605251943,2022-09-27 18:01:12,345,5.75,0.0,0.0,1.0,0.2607294194390085,878033.0,-0.001,6.0,0.0
24,31,2022-09-27 18:01:27,806.3099439710713,2022-09-27 18:01:27,360,6.0,0.0,0.0,0.3401785714285714,0.3896246376811593,919868.5714285714,-0.001,4.0,0.0
25,32,2022-09-27 18:01:42,157.74985903735563,2022-09-27 18:01:42,375,6.25,0.0,0.0,0.1736348910346458,0.1263513513513514,961704.1428571428,-0.001,2.0,0.0
26,33,2022-09-27 18:01:57,438.5774759694715,2022-09-27 18:01:57,390,6.5,0.0,0.0,0.2606585557453789,0.2226190476190476,1003539.7142857143,-0.001,0.0,0.0
27,34,2022-09-27 18:02:12,510.9277777777778,2022-09-27 18:02:12,405,6.75,0.0,0.0,0.2350515463917525,0.1125,1045375.2857142857,-0.001,4.0,0.0
28,35,2022-09-27 18:02:27,1317.798603207878,2022-09-27 18:02:27,420,7.0,0.0,0.0,0.3504148629148629,0.0,1087210.8571428573,-0.001,8.0,0.0
29,36,2022-09-27 18:02:42,3715.29710431574,2022-09-27 18:02:42,435,7.25,0.0,0.0,0.6321832118969597,0.0,1129046.4285714286,-0.001,8.0,0.0
30,37,2022-09-27 18:02:57,5149.463975853472,2022-09-27 18:02:57,450,7.5,0.0,0.0,0.8224887530769884,0.3403349056603773,1170882.0,452.0707272727273,8.0,0.8333333333333334
31,38,2022-09-27 18:03:12,7514.067631964022,2022-09-27 18:03:12,465,7.75,0.0,0.0,0.6708554267830538,0.2138722222222222,1362145.6153846155,-0.001,8.0,0.0
32,39,2022-09-27 18:03:27,12939.32727272727,2022-09-27 18:03:27,480,8.0,0.0,0.0,0.2255653567127372,0.1645708333333334,1553409.2307692308,-0.001,8.0,0.0
33,40,2022-09-27 18:03:42,10591.325044074074,2022-09-27 18:03:42,495,8.25,0.0,0.0,0.4908951238044158,0.2391964769647696,1744672.846153846,-0.001,6.0,0.0
34,41,2022-09-27 18:03:57,10519.858205954932,2022-09-27 18:03:57,510,8.5,0.0,0.0,0.64,0.1017839233038348,1935936.4615384615,-0.001,4.0,0.0
35,42,2022-09-27 18:04:12,7480.987182157859,2022-09-27 18:04:12,525,8.75,0.0,0.0,0.64,0.1096107305936073,2127200.076923077,-0.001,4.0,0.0
36,43,2022-09-27 18:04:27,2698.257410105204,2022-09-27 18:04:27,540,9.0,0.0,0.0,0.64,0.170770325203252,2318463.692307692,-0.001,4.0,0.0
37,44,2022-09-27 18:04:42,905.5064943784124,2022-09-27 18:04:42,555,9.25,0.0,0.0,0.4044595680263625,0.298775,2509727.3076923075,-0.001,1.0,0.0
38,45,2022-09-27 18:04:57,37.08901509337427,2022-09-27 18:04:57,570,9.5,0.0,0.0,0.2302161367595818,0.6433970588235293,2700990.923076923,-0.001,8.0,0.0
39,46,2022-09-27 18:05:12,123.81838744202638,2022-09-27 18:05:12,585,9.75,0.0,0.0,0.2239088486721444,0.2804551282051282,2892254.5384615385,-0.001,0.0,0.0
40,47,2022-09-27 18:05:27,3267.91248951141,2022-09-27 18:05:27,600,10.0,0.0,0.0,0.3766189228903023,0.1439177631578947,3083518.153846154,-0.001,8.0,0.0
41,48,2022-09-27 18:05:42,3027.758333333333,2022-09-27 18:05:42,615,10.25,0.0,0.0,0.5326462730928871,0.2612467532467531,3274781.769230769,-0.001,4.0,0.0
