,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,3,2022-09-29 23:08:40,55513.57734118182,2022-09-29 23:08:40,0,0.0,0.0,0.0,0.9644657863145258,0.0679848484848484,2312676.0,12.03925,8.0,174.20000000000002
1,4,2022-09-29 23:08:55,121079.89761363638,2022-09-29 23:08:55,15,0.25,32.0,0.0,0.997969387755102,0.2372257575757576,4916142.0,18.754125,8.0,30998.466666666664
2,5,2022-09-29 23:09:10,187324.66810242424,2022-09-29 23:09:10,30,0.5,56.875,0.0,0.9679485794317726,0.2737738095238095,4980771.0,5.123125,8.0,138057.38333333333
3,6,2022-09-29 23:09:25,248428.5636363636,2022-09-29 23:09:25,45,0.75,58.54545454545455,0.0,0.7695692904821502,0.3279760330578511,4980771.0,0.04425,8.0,233660.56666666668
4,7,2022-09-29 23:09:40,247820.21818181817,2022-09-29 23:09:40,60,1.0,53.66666666666666,0.3811979166666666,0.7676632653061225,0.6055937499999999,2544222.0,0.053125,8.0,294398.3833333333
5,8,2022-09-29 23:09:55,245872.5090909091,2022-09-29 23:09:55,75,1.25,55.00000000000001,0.2858576388888889,0.6881122448979592,0.7023020833333332,2264799.0,0.07975,8.0,324635.0333333333
6,9,2022-09-29 23:10:10,243536.2545454545,2022-09-29 23:10:10,90,1.5,30.5,0.1888749999999999,0.6693357843137255,0.8058923611111112,483447.0,0.005375,8.0,277827.9333333333
7,10,2022-09-29 23:10:25,242123.5454545454,2022-09-29 23:10:25,105,1.75,11.25,0.1335868055555555,0.6123898559423769,0.864954861111111,75699.0,0.018,8.0,242904.28333333333
8,11,2022-09-29 23:10:40,241158.09090909088,2022-09-29 23:10:40,120,2.0,7.333333333333332,0.1190208333333333,0.5263050097698655,0.8796493055555556,66300.0,0.0054999999999999,8.0,241774.95
9,12,2022-09-29 23:10:55,240224.87272727277,2022-09-29 23:10:55,135,2.25,4.416666666666666,0.1030520833333333,0.5310849600709849,0.89615625,65256.0,0.0038749999999999,8.0,240589.05
10,13,2022-09-29 23:11:10,239111.10909090907,2022-09-29 23:11:10,150,2.5,2.7500000000000004,0.0888437499999999,0.5183250067435098,0.9107361111111112,43818.0,0.0026249999999999,8.0,239564.75
11,14,2022-09-29 23:11:25,238492.3636363636,2022-09-29 23:11:25,165,2.75,1.4166666666666663,0.0789062499999999,0.508947749312491,0.9209201388888888,48231.0,0.011,8.0,238610.8
12,15,2022-09-29 23:11:40,242091.81818181815,2022-09-29 23:11:40,180,3.0,1.4166666666666667,0.0757569444444444,0.5473918034605147,0.924125,48741.0,0.001875,8.0,241482.53333333333
13,16,2022-09-29 23:11:55,246131.8,2022-09-29 23:11:55,195,3.25,1.4166666666666667,0.0744895833333333,0.5293375424637939,0.9253923611111112,45957.0,0.006625,8.0,245096.15
14,17,2022-09-29 23:12:10,250809.10909090907,2022-09-29 23:12:10,210,3.5,1.4166666666666667,0.0760694444444444,0.5299834545520337,0.9238125,34314.0,0.00425,8.0,249563.75
15,18,2022-09-29 23:12:25,254652.8,2022-09-29 23:12:25,225,3.75,0.0,0.0750034722222222,0.5211639075843104,0.9249965277777776,39888.0,0.024625,8.0,253443.7
16,19,2022-09-29 23:12:40,251690.8909090909,2022-09-29 23:12:40,240,4.0,0.0833333333333333,0.0728263888888889,0.5243079950065133,0.9271701388888888,37311.0,0.013875,8.0,251944.86666666667
17,20,2022-09-29 23:12:55,247840.54545454547,2022-09-29 23:12:55,255,4.25,0.0833333333333333,0.07259375,0.5050890595599942,0.9274027777777778,38361.0,0.0114999999999999,8.0,248920.15
18,21,2022-09-29 23:13:10,244065.3454545454,2022-09-29 23:13:10,270,4.5,0.0833333333333333,0.0709826388888888,0.5294723458532348,0.9290138888888888,37812.0,0.00175,8.0,245425.45
19,22,2022-09-29 23:13:25,241371.01818181816,2022-09-29 23:13:25,285,4.75,0.0833333333333333,0.0705972222222222,0.5153375850340136,0.9293993055555556,44934.0,0.024,8.0,242067.81666666668
20,23,2022-09-29 23:13:40,241121.32727272727,2022-09-29 23:13:40,300,5.0,5.75,0.0708611111111111,0.5525548107540889,0.9288993055555556,40413.0,0.017125,8.0,241277.56666666665
21,24,2022-09-29 23:13:55,240742.2727272727,2022-09-29 23:13:55,315,5.25,7.25,0.0787847222222222,0.5793150329280649,0.9207152777777778,67104.0,0.013125,8.0,240495.03333333333
22,25,2022-09-29 23:14:10,240702.50909090904,2022-09-29 23:14:10,330,5.5,7.25,0.0801354166666666,0.5248918836961243,0.9192465277777776,63942.0,0.002,8.0,240886.25
23,26,2022-09-29 23:14:25,240504.85454545447,2022-09-29 23:14:25,345,5.75,7.250000000000002,0.0807777777777777,0.5868319936670321,0.9186041666666668,62253.0,0.032,8.0,240605.91666666663
24,27,2022-09-29 23:14:40,238939.23636363636,2022-09-29 23:14:40,360,6.0,3.083333333333333,0.0823159722222222,0.4774550314806773,0.9173020833333334,43560.0,0.0027499999999999,8.0,239099.4833333333
25,28,2022-09-29 23:14:55,236769.0181818182,2022-09-29 23:14:55,375,6.25,2.833333333333333,0.0721909722222222,0.4933635422254008,0.9276875,40821.0,0.00225,8.0,237710.25
26,29,2022-09-29 23:15:10,235111.67272727276,2022-09-29 23:15:10,390,6.5,0.0833333333333333,0.069923611111111,0.4978968253968254,0.9300729166666668,27543.0,0.003625,8.0,235291.0
27,30,2022-09-29 23:15:25,233107.7636363636,2022-09-29 23:15:25,405,6.75,1.4166666666666663,0.0691458333333333,0.4947196965048738,0.9307916666666668,28743.0,0.00325,8.0,234165.55
