,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,3,2022-09-30 00:33:31,14772.885766060606,2022-09-30 00:33:31,0,0.0,0.0,0.0,0.7928936930924081,0.0,0.0,-0.001,8.0,0.0
1,4,2022-09-30 00:33:46,32172.821947878787,2022-09-30 00:33:46,15,0.25,269.75,0.0,0.9503979591836734,0.189079365079365,1172886.0,23.144500000000004,8.0,102.98333333333332
2,5,2022-09-30 00:34:01,49712.0241630303,2022-09-30 00:34:01,30,0.5,535.0,0.0,0.8521958261466256,0.1901768707482993,1876767.0,24.499250000000004,8.0,3310.316666666666
3,6,2022-09-30 00:34:16,67127.79894272727,2022-09-30 00:34:16,45,0.75,652.0,0.0,0.9043016091051804,0.1920238095238094,2015394.0,18.60525,8.0,10411.016666666666
4,7,2022-09-30 00:34:31,68380.03636363636,2022-09-30 00:34:31,60,1.0,776.9166666666667,0.3800958333333333,0.8056466586634653,0.3967708333333333,2037438.0,15.981249999999998,8.0,19270.983333333337
5,8,2022-09-30 00:34:46,67978.98181818181,2022-09-30 00:34:46,75,1.25,909.5,0.2999604166666666,0.9001764705882354,0.4556520833333334,1758312.0,9.8706875,8.0,34321.583333333336
6,9,2022-09-30 00:35:01,67566.83636363635,2022-09-30 00:35:01,90,1.5,859.9166666666666,0.2793895833333333,0.9056734693877552,0.5345729166666667,1758312.0,1.3108125,8.0,49152.86666666667
7,10,2022-09-30 00:35:16,66878.16363636362,2022-09-30 00:35:16,105,1.75,708.4166666666667,0.2214416666666667,0.7743819027611045,0.6471083333333334,1103529.0,0.0471249999999999,8.0,53076.51666666667
8,11,2022-09-30 00:35:31,66712.21818181819,2022-09-30 00:35:31,120,2.0,503.0833333333334,0.1869604166666667,0.6345955382152861,0.7218541666666666,1103529.0,0.0133125,8.0,51213.73333333333
9,12,2022-09-30 00:35:46,66752.78181818181,2022-09-30 00:35:46,135,2.25,301.25,0.1635854166666666,0.6021274509803921,0.7818312499999999,39879.0,0.0360625,8.0,43373.9
10,13,2022-09-30 00:36:01,66651.21818181817,2022-09-30 00:36:01,150,2.5,159.58333333333334,0.1269333333333333,0.6129509803921568,0.8503104166666668,40938.0,0.021625,8.0,32490.666666666664
11,14,2022-09-30 00:36:16,66429.21818181817,2022-09-30 00:36:16,165,2.75,67.66666666666667,0.0994208333333333,0.5334468537414966,0.8903395833333333,9837.0,0.004375,8.0,28371.6
12,15,2022-09-30 00:36:31,66770.90909090907,2022-09-30 00:36:31,180,3.0,52.91666666666667,0.0869499999999999,0.5085113378684807,0.9064458333333332,10017.0,0.0115625,8.0,28061.566666666666
13,16,2022-09-30 00:36:46,67084.12727272727,2022-09-30 00:36:46,195,3.25,34.75,0.0739854166666666,0.516106021131857,0.9217333333333332,4956.0,0.0026875,8.0,27549.68333333333
14,17,2022-09-30 00:37:01,67573.83636363636,2022-09-30 00:37:01,210,3.5,16.666666666666664,0.0638166666666666,0.511829081632653,0.9340208333333336,5238.0,0.0017499999999999,8.0,26904.83333333333
15,18,2022-09-30 00:37:16,67917.6909090909,2022-09-30 00:37:16,225,3.75,15.166666666666666,0.06049375,0.4894853723404255,0.9379208333333332,3975.0,0.0016874999999999,8.0,26825.916666666668
16,19,2022-09-30 00:37:31,67670.38181818182,2022-09-30 00:37:31,240,4.0,20.166666666666664,0.06118125,0.5046026197713128,0.93685625,5382.0,0.0145,8.0,26964.716666666664
17,20,2022-09-30 00:37:46,67285.0909090909,2022-09-30 00:37:46,255,4.25,17.916666666666668,0.0589874999999999,0.4874404128672746,0.9396833333333332,4530.0,0.012125,8.0,26448.200000000004
