,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,4,2022-10-06 12:38:59,32080.0344230303,2022-10-06 12:38:59,0,0.0,0.0,0.0,0.9572632302921168,0.0,0.0,7.087375,8.0,0.0
1,5,2022-10-06 12:39:14,97276.53063121212,2022-10-06 12:39:14,15,0.25,36.0,0.0,0.9921372549019608,0.2003842105263158,3897444.0,15.902875,8.0,20814.283333333333
2,6,2022-10-06 12:39:29,161655.0317130303,2022-10-06 12:39:29,30,0.5,79.57142857142857,0.0,0.9940882352941176,0.2252424812030075,4200801.0,7.82375,8.0,100834.8
3,7,2022-10-06 12:39:44,227249.81676727277,2022-10-06 12:39:44,45,0.75,65.9,0.0,0.8051446578631453,0.265540909090909,4200801.0,0.060875,8.0,207288.75
4,8,2022-10-06 12:39:59,248024.14545454545,2022-10-06 12:39:59,60,1.0,57.91666666666666,0.4166666666666667,0.7514272922844352,0.5691736111111112,2775018.0,0.034875,8.0,269032.81666666665
5,9,2022-10-06 12:40:14,245691.61818181816,2022-10-06 12:40:14,75,1.25,67.66666666666667,0.7887186228482005,0.9446290302074009,0.2084869841269841,2904425.0,3.746461538461539,13.0,0.0
6,10,2022-10-06 12:40:29,244003.41818181815,2022-10-06 12:40:29,90,1.5,58.0,0.5000282696177061,0.7738333333333334,0.4993247278911564,3033832.0,5.850615384615384,13.0,78282.81666666665
7,11,2022-10-06 12:40:44,242133.56363636363,2022-10-06 12:40:44,105,1.75,48.125,0.3934432427900737,0.621865131322578,0.609515986394558,3045568.0,0.9493846153846154,13.0,155201.51666666666
8,12,2022-10-06 12:40:59,241084.70909090905,2022-10-06 12:40:59,120,2.0,47.900000000000006,0.4174378181818181,0.488609511804437,0.5888348794063079,3045568.0,0.0128461538461538,13.0,223972.4833333333
9,13,2022-10-06 12:41:14,240077.2727272727,2022-10-06 12:41:14,135,2.25,39.91666666666667,0.1685320512820513,0.4747794948762968,0.8252777777777777,988134.0,0.0061538461538461,13.0,283669.5333333333
10,14,2022-10-06 12:41:29,238894.34545454543,2022-10-06 12:41:29,150,2.5,38.08333333333333,0.1112884615384615,0.4670285290235071,0.8853888888888887,253592.0,0.0039230769230769,13.0,264956.6666666667
11,15,2022-10-06 12:41:44,238015.74545454545,2022-10-06 12:41:44,165,2.75,22.083333333333336,0.0703397435897436,0.3887031189904268,0.9286004273504276,79362.0,0.0077692307692307,13.0,246819.26666666663
12,16,2022-10-06 12:41:59,240222.41818181812,2022-10-06 12:41:59,180,3.0,1.4166666666666667,0.0556944444444444,0.4639410039544174,0.944267094017094,51312.0,0.0042307692307692,13.0,239072.70000000004
13,17,2022-10-06 12:42:14,244683.2909090909,2022-10-06 12:42:14,195,3.25,1.4166666666666667,0.0527307692307692,0.4071248204682855,0.9472307692307694,32694.0,0.003076923076923,13.0,242947.3166666667
14,18,2022-10-06 12:42:29,249147.7272727273,2022-10-06 12:42:29,210,3.5,0.0833333333333333,0.0494487179487179,0.3814274801597387,0.9505491452991452,34258.0,0.0035384615384615,13.0,247195.46666666667
15,19,2022-10-06 12:42:44,253243.7636363636,2022-10-06 12:42:44,225,3.75,0.0833333333333333,0.0487243589743589,0.3687489748478912,0.9512735042735044,26054.0,0.0087692307692307,13.0,251079.65
16,20,2022-10-06 12:42:59,251906.38181818175,2022-10-06 12:42:59,240,4.0,0.0,0.0473311965811965,0.381376802360085,0.9526688034188032,21475.0,0.0027692307692307,13.0,252251.61666666667
17,21,2022-10-06 12:43:14,248346.01818181816,2022-10-06 12:43:14,255,4.25,0.0,0.0444893162393162,0.3551376228282532,0.9555106837606838,16547.0,0.0029230769230769,13.0,249403.28333333333
18,22,2022-10-06 12:43:29,244851.8363636363,2022-10-06 12:43:29,270,4.5,0.0,0.0424871794871794,0.3308168879048355,0.9575128205128206,17193.0,0.0036153846153846,13.0,245748.45
19,23,2022-10-06 12:43:44,241861.5149096597,2022-10-06 12:43:44,285,4.75,1.1666666666666667,0.0410128205128205,0.34120020894337,0.958957264957265,14519.0,0.0024615384615384,13.0,243241.8333333333
20,24,2022-10-06 12:43:59,241288.0545454545,2022-10-06 12:43:59,300,5.0,1.1666666666666667,0.0403376068376068,0.3301248998567618,0.9596324786324788,13175.0,0.004,13.0,241395.20000000004
21,25,2022-10-06 12:44:14,240989.10909090907,2022-10-06 12:44:14,315,5.25,1.1666666666666667,0.0393226495726495,0.3362809981745491,0.960647435897436,7919.0,0.002076923076923,13.0,240986.85
22,26,2022-10-06 12:44:29,240287.41818181812,2022-10-06 12:44:29,330,5.5,1.166666666666667,0.0391559829059829,0.3379741048344193,0.9608141025641024,8847.0,0.0026153846153846,13.0,241089.93333333335
23,27,2022-10-06 12:44:44,240535.58181818185,2022-10-06 12:44:44,345,5.75,0.0,0.0390405982905982,0.3572343978650309,0.9609594017094018,12554.0,0.0053076923076923,13.0,240704.16666666663
24,28,2022-10-06 12:44:59,239390.6545454545,2022-10-06 12:44:59,360,6.0,0.0,0.0392029914529914,0.3295894023161104,0.9607970085470084,12104.0,0.0036153846153846,13.0,239973.05000000005
25,29,2022-10-06 12:45:14,237518.14545454545,2022-10-06 12:45:14,375,6.25,0.0,0.0390811965811965,0.3464080761976229,0.9609188034188034,8620.0,0.0037692307692307,13.0,237934.76666666663
26,30,2022-10-06 12:45:29,235448.32727272727,2022-10-06 12:45:29,390,6.5,0.0,0.0393952991452991,0.390201930721291,0.9606047008547012,19747.0,0.019076923076923,13.0,236043.43333333332
27,31,2022-10-06 12:45:44,233621.7818181818,2022-10-06 12:45:44,405,6.75,0.0,0.0395619658119658,0.3408290043290043,0.960438034188034,23025.0,0.0017692307692307,13.0,234701.55
28,32,2022-10-06 12:45:59,232948.8,2022-10-06 12:45:59,420,7.0,0.0,0.039568376068376,0.3362942798505108,0.9604316239316236,25517.0,0.0033076923076923,13.0,233259.15
29,33,2022-10-06 12:46:14,232504.23636363636,2022-10-06 12:46:14,435,7.25,0.0,0.0394273504273504,0.326403870720707,0.9605726495726498,14348.0,0.0063076923076923,13.0,232905.85
30,34,2022-10-06 12:46:29,232337.34545454543,2022-10-06 12:46:29,450,7.5,0.0,0.0387286324786324,0.3320947742696784,0.9612713675213674,11594.0,0.002076923076923,13.0,232226.35
31,35,2022-10-06 12:46:44,231374.9818181818,2022-10-06 12:46:44,465,7.75,0.0,0.0378482905982906,0.331786520863403,0.9621517094017092,7551.0,0.0023076923076923,13.0,231646.28333333333
32,36,2022-10-06 12:46:59,228830.2,2022-10-06 12:46:59,480,8.0,0.0,0.0372628205128205,0.3117542478739121,0.9627371794871796,7345.0,0.0073846153846153,13.0,230224.31666666665
33,37,2022-10-06 12:47:14,226056.14545454545,2022-10-06 12:47:14,495,8.25,0.0,0.0370705128205128,0.308907380030216,0.9629294871794872,5399.0,0.0393076923076923,13.0,226995.63333333333
34,38,2022-10-06 12:47:29,222485.90909090903,2022-10-06 12:47:29,510,8.5,0.0,0.0367713675213675,0.3231103985878005,0.9632286324786324,5855.0,0.0397692307692307,13.0,224031.35
35,39,2022-10-06 12:47:44,219237.67272727276,2022-10-06 12:47:44,525,8.75,0.0,0.2171337121212121,0.3531026567442861,0.7828662878787881,730167.0,3.81525,10.0,82890.23333333335
36,40,2022-10-06 12:47:59,216836.32727272727,2022-10-06 12:47:59,540,9.0,113.33333333333334,0.2495905221992178,0.457625860828451,0.7452150333563374,2638773.0,0.0930999999999999,10.0,77802.33333333333
37,41,2022-10-06 12:48:14,212203.45454545453,2022-10-06 12:48:14,555,9.25,59.16666666666666,0.1543224982746722,0.4104724964497984,0.8428162180814355,2638773.0,0.0105,10.0,129338.4
38,42,2022-10-06 12:48:29,207882.41818181812,2022-10-06 12:48:29,570,9.5,39.44444444444444,0.118480998389694,0.3830876865084609,0.8795938808373588,2638773.0,0.0021,10.0,180136.80000000002
39,43,2022-10-06 12:48:44,203287.67272727276,2022-10-06 12:48:44,585,9.75,35.5,0.5681913875598086,0.842560167014008,0.4297011164274323,2245330.0,2.171777777777778,9.0,0.0
40,44,2022-10-06 12:48:59,202026.07272727275,2022-10-06 12:48:59,600,10.0,49.0,0.2246142230576441,0.4054272209997508,0.7710916666666668,2245330.0,0.0612222222222222,9.0,89556.15
41,45,2022-10-06 12:49:14,200372.85454545447,2022-10-06 12:49:14,615,10.25,28.0,0.1516094611528822,0.4186624818859076,0.845974498746867,2245330.0,0.0024444444444444,9.0,138728.43333333335
42,46,2022-10-06 12:49:29,198419.8545454545,2022-10-06 12:49:29,630,10.5,19.6,0.1199421052631579,0.3866548463356974,0.8783413078149918,2245330.0,0.0577777777777777,9.0,187748.9
43,47,2022-10-06 12:49:44,196619.85454545447,2022-10-06 12:49:44,645,10.75,16.33333333333333,0.0782561728395061,0.4285746076962323,0.9186018518518518,35251.0,0.0081111111111111,9.0,236909.35
44,48,2022-10-06 12:49:59,195239.30909090908,2022-10-06 12:49:59,660,11.0,1.0,0.0505925925925925,0.3691016426099682,0.9493672839506172,36134.0,0.0573333333333333,9.0,195815.26666666663
45,49,2022-10-06 12:50:14,193312.74545454545,2022-10-06 12:50:14,675,11.25,1.0,0.0489567901234567,0.3815649310603057,0.9510030864197528,27244.0,0.1137777777777777,9.0,194035.95
46,50,2022-10-06 12:50:29,191590.8363636364,2022-10-06 12:50:29,690,11.5,1.0,0.0483611111111111,0.3728871062249548,0.9515987654320988,27620.0,0.0072222222222222,9.0,192314.86666666667
47,51,2022-10-06 12:50:44,189664.6727272727,2022-10-06 12:50:44,705,11.75,1.0,0.0474320987654321,0.3858380157832825,0.9525308641975307,22240.0,0.0587777777777777,9.0,190573.7333333333
48,52,2022-10-06 12:50:59,188936.3818181818,2022-10-06 12:50:59,720,12.0,0.0,0.0464506172839506,0.367609004008634,0.9535493827160492,22240.0,0.0031111111111111,9.0,189108.85
49,53,2022-10-06 12:51:14,187954.40514897395,2022-10-06 12:51:14,735,12.25,0.0,0.0463796296296296,0.3749213395023271,0.9536203703703702,17545.0,0.004,9.0,187917.3666666667
50,54,2022-10-06 12:51:29,186757.9636363636,2022-10-06 12:51:29,750,12.5,0.0,0.0455956790123456,0.3573347845665144,0.9544043209876544,18276.0,0.0573333333333333,9.0,187078.9333333333
51,55,2022-10-06 12:51:44,185697.34545454543,2022-10-06 12:51:44,765,12.75,0.0,0.0446111111111111,0.3807957694332743,0.955388888888889,15129.0,0.0021111111111111,9.0,185994.01666666663
52,56,2022-10-06 12:51:59,182060.7272727273,2022-10-06 12:51:59,780,13.0,0.0,0.0436759259259259,0.3197988618758628,0.956324074074074,20877.0,0.0021111111111111,9.0,183327.56666666668
53,57,2022-10-06 12:52:14,175415.5636363636,2022-10-06 12:52:14,795,13.25,0.0,0.0417222222222222,0.3298495660515979,0.9582777777777778,18444.0,0.0624444444444444,9.0,177472.41666666666
54,58,2022-10-06 12:52:29,168956.94545454544,2022-10-06 12:52:29,810,13.5,0.0,0.0405216049382716,0.3296075966659836,0.9594783950617284,20300.0,0.0577777777777777,9.0,171335.96666666667
55,59,2022-10-06 12:52:44,162305.1636363636,2022-10-06 12:52:44,825,13.75,0.0,0.0393518518518518,0.3291153059714438,0.960648148148148,17211.0,0.1127777777777777,9.0,165178.05
56,60,2022-10-06 12:52:59,160675.3818181818,2022-10-06 12:52:59,840,14.0,0.0,0.4909098039215684,0.7677591461003006,0.5090901960784313,2147685.0,4.667,8.0,0.0
57,61,2022-10-06 12:53:14,159753.0181818182,2022-10-06 12:53:14,855,14.25,42.75,0.2123046218487395,0.3808811893334409,0.78434243697479,2147685.0,0.069,8.0,75504.28333333333
58,62,2022-10-06 12:53:29,158535.54545454544,2022-10-06 12:53:29,870,14.5,26.142857142857142,0.1395878151260504,0.360019579061967,0.8584037815126051,2147685.0,0.068375,8.0,114863.76666666666
59,63,2022-10-06 12:53:44,157783.01818181816,2022-10-06 12:53:44,885,14.75,18.3,0.1095803921568627,0.3465108660254111,0.889013725490196,2147685.0,0.0025,8.0,154442.81666666665
60,64,2022-10-06 12:53:59,157276.4,2022-10-06 12:53:59,900,15.0,15.25,0.0856770833333333,0.3491502227408217,0.9118333333333332,20697.0,0.0038749999999999,8.0,193449.68333333332
61,65,2022-10-06 12:54:14,156532.30909090908,2022-10-06 12:54:14,915,15.25,1.4166666666666667,0.0444652777777777,0.3549018478933075,0.9554201388888888,32256.0,0.003,8.0,156705.0
62,66,2022-10-06 12:54:29,155827.16363636364,2022-10-06 12:54:29,930,15.5,0.0,0.0430486111111111,0.3410631431005671,0.9569513888888888,31338.0,0.1259999999999999,8.0,156127.4
63,67,2022-10-06 12:54:44,155085.41818181815,2022-10-06 12:54:44,945,15.75,0.0,0.0424861111111111,0.3366012254809416,0.957513888888889,33438.0,0.121125,8.0,155027.40000000002
64,68,2022-10-06 12:54:59,151377.78181818183,2022-10-06 12:54:59,960,16.0,0.0,0.0420486111111111,0.3065774447677758,0.957951388888889,19575.0,0.059875,8.0,152783.61666666667
65,69,2022-10-06 12:55:14,144858.96363636362,2022-10-06 12:55:14,975,16.25,0.0,0.0391597222222222,0.2914911955565595,0.960840277777778,24615.0,0.0028749999999999,8.0,146606.56666666668
66,70,2022-10-06 12:55:29,138011.1636363636,2022-10-06 12:55:29,990,16.5,0.0,0.0371215277777777,0.3001714059749774,0.962878472222222,21354.0,0.006375,8.0,140399.59999999998
67,71,2022-10-06 12:55:44,131459.58181818182,2022-10-06 12:55:44,1005,16.75,0.0,0.4855771717171717,0.7321641481684155,0.5144228282828283,1934711.0,6.47042857142857,7.0,0.0
68,72,2022-10-06 12:55:59,129352.8,2022-10-06 12:55:59,1020,17.0,50.25,0.2156178571428571,0.3218435940518668,0.7820654761904762,1934711.0,0.0081428571428571,7.0,61300.21666666666
69,73,2022-10-06 12:56:14,127154.45454545452,2022-10-06 12:56:14,1035,17.25,28.714285714285715,0.1387238095238095,0.3132917615554279,0.8599523809523809,1934711.0,0.0032857142857142,7.0,91868.55
70,74,2022-10-06 12:56:29,125047.09090909093,2022-10-06 12:56:29,1050,17.5,20.1,0.1087,0.311211379402208,0.8903733333333331,1934711.0,0.0151428571428571,7.0,122483.15
71,75,2022-10-06 12:56:44,122937.25454545452,2022-10-06 12:56:44,1065,17.75,16.75,0.089047619047619,0.3191007997176392,0.9092976190476192,27239.0,0.0035714285714285,7.0,153158.11666666667
72,76,2022-10-06 12:56:59,121178.2909090909,2022-10-06 12:56:59,1080,18.0,0.0,0.0410436507936507,0.2954470643574175,0.9589563492063492,29960.0,0.0774285714285714,7.0,121708.0
73,77,2022-10-06 12:57:14,118116.72727272726,2022-10-06 12:57:14,1095,18.25,0.0,0.0408333333333333,0.2839964091570991,0.9591666666666666,26664.0,0.0062857142857142,7.0,119101.43333333336
74,78,2022-10-06 12:57:29,115195.65454545454,2022-10-06 12:57:29,1110,18.5,0.0,0.0391944444444444,0.2805712252479512,0.9608055555555556,26712.0,0.0067142857142857,7.0,116451.61666666668
75,79,2022-10-06 12:57:44,112246.4,2022-10-06 12:57:44,1125,18.75,0.0,0.4385444444444444,0.5865257719034315,0.5614555555555556,637836.0,1.5372,6.0,0.0
76,80,2022-10-06 12:57:59,112405.4909090909,2022-10-06 12:57:59,1140,19.0,43.25,0.2296224053724054,0.3338981481481481,0.769666056166056,772312.0,0.006,6.0,38637.0
77,81,2022-10-06 12:58:14,113511.90909090907,2022-10-06 12:58:14,1155,19.25,24.71428571428571,0.1471150793650794,0.3442132645446537,0.8524783272283272,772312.0,0.0065,6.0,67611.8
78,82,2022-10-06 12:58:29,114511.94545454544,2022-10-06 12:58:29,1170,19.5,17.299999999999997,0.114005698005698,0.3312939460397172,0.8857096866096865,772312.0,0.0031666666666666,6.0,96359.85
79,83,2022-10-06 12:58:44,115470.41818181818,2022-10-06 12:58:44,1185,19.75,14.416666666666666,0.1128703703703703,0.3394213452352987,0.8866157407407407,157912.0,0.01,6.0,125426.58333333334
80,84,2022-10-06 12:58:59,114107.30909090908,2022-10-06 12:58:59,1200,20.0,0.0,0.0465694444444444,0.3171824308342953,0.9534305555555556,28148.0,0.0108333333333333,6.0,114562.46666666666
