,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,2,2022-11-27 00:22:16,30826.02577059524,2022-11-27 00:22:16,0,0.0,0.0,0.0,0.4555419614991874,0.0,0.0,1.999285714285714,10.0,0.0
1,3,2022-11-27 00:22:31,97334.34109077274,2022-11-27 00:22:31,15,0.25,7.5,0.0,0.7905579648526078,0.0294484536082474,3831832.0,5.480100000000001,12.0,0.0
2,4,2022-11-27 00:22:46,164901.62821969698,2022-11-27 00:22:46,30,0.5,28.5,0.0,0.601768347209374,0.0812949640287769,3595947.0,2.9153333333333338,9.0,0.0
3,5,2022-11-27 00:23:01,230375.68668303036,2022-11-27 00:23:01,45,0.75,28.5,0.0,0.3665772654935137,0.2021356115107913,3595947.0,0.1101111111111111,9.0,122931.85
4,6,2022-11-27 00:23:16,257918.4909090909,2022-11-27 00:23:16,60,1.0,28.5,0.7356092687074831,0.2979954648526077,0.2621931689342404,3595947.0,0.0025555555555555,9.0,186984.0833333333
5,7,2022-11-27 00:23:31,256310.7636363636,2022-11-27 00:23:31,75,1.25,42.0,0.4520962481962483,0.3149792139077853,0.545137950937951,3595947.0,0.0058888888888888,9.0,250957.56666666668
6,8,2022-11-27 00:23:46,258648.18181818185,2022-11-27 00:23:46,90,1.5,5.416666666666667,0.0756728395061728,0.2540036560517927,0.9237808641975308,24087.0,0.0056666666666666,9.0,316657.8666666667
7,9,2022-11-27 00:24:01,256738.67272727276,2022-11-27 00:24:01,105,1.75,0.0,0.0576728395061728,0.2316214719930525,0.942327160493827,24087.0,0.0545555555555555,9.0,256750.81666666665
8,10,2022-11-27 00:24:16,258127.14545454545,2022-11-27 00:24:16,120,2.0,0.0,0.056929012345679,0.2280924036281179,0.9430709876543208,9174.0,0.0557777777777777,9.0,258196.56666666668
9,11,2022-11-27 00:24:31,257001.90909090903,2022-11-27 00:24:31,135,2.25,0.0,0.054929012345679,0.2165425619317518,0.9450709876543212,13008.0,0.0015555555555555,9.0,256867.45000000004
10,12,2022-11-27 00:24:46,257476.18181818185,2022-11-27 00:24:46,150,2.5,0.0,0.0542685185185185,0.2382742553566526,0.9457314814814812,10384.0,0.0578888888888888,9.0,256073.78333333333
11,13,2022-11-27 00:25:01,257290.1636363636,2022-11-27 00:25:01,165,2.75,0.0,0.4679799242424242,0.6716293481931779,0.5320200757575758,3840901.0,2.2068571428571437,7.0,0.0
12,14,2022-11-27 00:25:16,257251.7636363636,2022-11-27 00:25:16,180,3.0,14.25,0.1884062499999999,0.2818710082188343,0.8103802083333332,3840901.0,0.0014285714285714,7.0,128615.05000000002
13,15,2022-11-27 00:25:31,257544.2363636363,2022-11-27 00:25:31,195,3.25,8.142857142857142,0.1344517113095237,0.294859672339047,0.8648548363095239,3840901.0,0.0061428571428571,7.0,192494.46666666667
14,16,2022-11-27 00:25:46,255167.94545454544,2022-11-27 00:25:46,210,3.5,5.7,0.1126696969696969,0.2798512637071039,0.8868448863636363,3840901.0,0.003,7.0,256073.83333333337
15,17,2022-11-27 00:26:01,258095.2363636364,2022-11-27 00:26:01,225,3.75,4.75,0.0799722222222222,0.2916659924178472,0.9191031746031746,22296.0,0.08,7.0,321436.2833333333
16,18,2022-11-27 00:26:16,255719.9818181818,2022-11-27 00:26:16,240,4.0,0.0,0.066531746031746,0.2657429120716609,0.933468253968254,23800.0,0.002,7.0,257188.65
17,19,2022-11-27 00:26:31,257442.1272727273,2022-11-27 00:26:31,255,4.25,0.0,0.0664166666666666,0.2651624554583738,0.9335833333333332,17616.0,0.0027142857142857,7.0,256948.93333333332
18,20,2022-11-27 00:26:46,257355.8727272727,2022-11-27 00:26:46,270,4.5,0.0,0.0671269841269841,0.2834686384527047,0.932873015873016,17660.0,0.1412857142857142,7.0,257788.78333333333
19,21,2022-11-27 00:27:01,254838.52727272725,2022-11-27 00:27:01,285,4.75,0.0,0.0667103174603174,0.2708215251933276,0.9332896825396828,9652.0,0.144,7.0,255850.05
20,22,2022-11-27 00:27:16,255288.0727272727,2022-11-27 00:27:16,300,5.0,0.0,0.4551972222222222,0.5933671497584541,0.5448027777777779,3873328.0,5.9522,5.0,0.0
