,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,2,2022-10-02 22:45:59,545.1627549537037,2022-10-02 22:45:59,0,0.0,0.0,1.0,0.1912371324327846,0.0,0.0,0.0,1.0,0.0
1,3,2022-10-02 22:46:14,18289.092503333333,2022-10-02 22:46:14,15,0.25,0.0,0.88772875,0.961276963776964,0.0,0.0,7.5278125,8.0,0.0
2,4,2022-10-02 22:46:29,36036.32919787879,2022-10-02 22:46:29,30,0.5,319.2,0.7754575,0.9906938159879336,0.1901684210526315,1494924.0,22.109812500000004,8.0,1284.55
3,5,2022-10-02 22:46:44,53645.89406303031,2022-10-02 22:46:44,45,0.75,502.625,0.66318625,0.9645196078431372,0.1940476190476191,1793184.0,18.906062500000004,8.0,6228.25
4,6,2022-10-02 22:46:59,68682.07272727272,2022-10-02 22:46:59,60,1.0,611.0,0.550915,0.9056106442577032,0.2452846153846153,1828077.0,12.561749999999998,8.0,16439.216666666667
5,7,2022-10-02 22:47:14,68209.25454545455,2022-10-02 22:47:14,75,1.25,763.4166666666667,0.43864375,0.943602825745683,0.4443374999999999,1573992.0,7.505062499999999,8.0,29449.45
6,8,2022-10-02 22:47:29,67719.45454545453,2022-10-02 22:47:29,90,1.5,699.3333333333333,0.36251875,0.8235900360144057,0.5056979166666666,1323294.0,0.0319375,8.0,46566.4
7,9,2022-10-02 22:47:44,67350.4909090909,2022-10-02 22:47:44,105,1.75,563.8333333333334,0.24064375,0.670938775510204,0.6565083333333331,1006449.0,0.033,8.0,48844.45
8,10,2022-10-02 22:47:59,66954.16363636364,2022-10-02 22:47:59,120,2.0,430.25,0.1565541666666666,0.6459859943977591,0.7738395833333336,505566.0,0.009125,8.0,45721.63333333333
9,11,2022-10-02 22:48:14,66836.98181818181,2022-10-02 22:48:14,135,2.25,201.75,0.1295458333333333,0.6442899659863947,0.8405416666666667,281406.0,0.0305,8.0,39637.46666666666
10,12,2022-10-02 22:48:29,66671.94545454545,2022-10-02 22:48:29,150,2.5,49.75,0.0899,0.5728367346938775,0.9032,5817.0,0.0143749999999999,8.0,28000.43333333333
11,13,2022-10-02 22:48:44,66484.67272727271,2022-10-02 22:48:44,165,2.75,38.75,0.0788624999999999,0.498250300120048,0.9150625,5163.0,0.01175,8.0,27694.516666666663
12,14,2022-10-02 22:48:59,66426.4,2022-10-02 22:48:59,180,3.0,23.75,0.0677979166666666,0.4940612244897959,0.9282333333333332,2691.0,0.0043125,8.0,27230.63333333333
13,15,2022-10-02 22:49:14,66880.0,2022-10-02 22:49:14,195,3.25,23.666666666666668,0.0594479166666666,0.5136819727891156,0.937875,1023.0,0.002875,8.0,26753.050000000003
14,16,2022-10-02 22:49:29,67216.4,2022-10-02 22:49:29,210,3.5,9.5,0.0513354166666666,0.5087291666666668,0.94735625,1308.0,0.0043125,8.0,26991.233333333337
15,17,2022-10-02 22:49:44,67670.78181818181,2022-10-02 22:49:44,225,3.75,10.25,0.0500625,0.5060646258503401,0.9492833333333331,2508.0,0.0066875,8.0,26880.066666666666
16,18,2022-10-02 22:49:59,67952.58181818182,2022-10-02 22:49:59,240,4.0,10.083333333333334,0.0501291666666666,0.4971531607323781,0.9492270833333332,2181.0,0.0026875,8.0,26872.2
17,19,2022-10-02 22:50:14,67585.90909090909,2022-10-02 22:50:14,255,4.25,10.0,0.0481958333333333,0.4934336734693877,0.9512666666666664,852.0,0.00875,8.0,27018.43333333333
18,20,2022-10-02 22:50:29,67256.25454545455,2022-10-02 22:50:29,270,4.5,10.0,0.04600625,0.4759723639455783,0.9535958333333332,165.0,0.0059374999999999,8.0,26465.2
19,21,2022-10-02 22:50:44,66804.36363636363,2022-10-02 22:50:44,285,4.75,0.5833333333333334,0.0441062499999999,0.4951326530612245,0.9558708333333332,165.0,0.0039999999999999,8.0,26588.966666666667
20,22,2022-10-02 22:50:59,66641.63636363635,2022-10-02 22:50:59,300,5.0,0.5833333333333334,0.0434770833333333,0.4861437617600231,0.9564833333333334,597.0,0.00475,8.0,26311.9
21,23,2022-10-02 22:51:14,66889.79999999999,2022-10-02 22:51:14,315,5.25,0.5833333333333336,0.0428916666666666,0.516360744297719,0.957075,432.0,0.0105625,8.0,26509.233333333334
22,24,2022-10-02 22:51:29,67238.81818181818,2022-10-02 22:51:29,330,5.5,6.166666666666667,0.0474125,0.5496193477390956,0.9521833333333332,1776.0,0.0120625,8.0,26954.18333333333
23,25,2022-10-02 22:51:44,67504.32727272727,2022-10-02 22:51:44,345,5.75,7.833333333333334,0.0520416666666666,0.5328630952380954,0.9473354166666664,2817.0,0.0034375,8.0,27022.266666666663
24,26,2022-10-02 22:51:59,67691.76363636363,2022-10-02 22:51:59,360,6.0,10.666666666666666,0.0531583333333333,0.4866458333333333,0.9458875,2256.0,0.002875,8.0,26998.85
25,27,2022-10-02 22:52:14,66695.92727272728,2022-10-02 22:52:14,375,6.25,12.583333333333334,0.05411875,0.4697886904761905,0.94481875,2154.0,0.0024374999999999,8.0,26280.06666666667
26,28,2022-10-02 22:52:29,65704.96363636362,2022-10-02 22:52:29,390,6.5,6.750000000000002,0.0492604166666666,0.4548149472554979,0.9500562500000002,1077.0,0.0029375,8.0,26054.75
27,29,2022-10-02 22:52:44,64685.8909090909,2022-10-02 22:52:44,405,6.75,6.333333333333334,0.0450125,0.4748163265306122,0.9543958333333332,489.0,0.0055625,8.0,25768.0
28,30,2022-10-02 22:52:59,64095.472727272725,2022-10-02 22:52:59,420,7.0,2.583333333333333,0.04304375,0.4650068027210884,0.9566875,0.0,0.0023125,8.0,26075.083333333336
29,31,2022-10-02 22:53:14,66446.83636363636,2022-10-02 22:53:14,435,7.25,2.5,0.04348125,0.5302908163265306,0.9563541666666668,372.0,0.0026875,8.0,26720.86666666667
30,32,2022-10-02 22:53:29,68843.05454545454,2022-10-02 22:53:29,450,7.5,8.75,0.0455729166666666,0.5333017802865827,0.9537854166666666,579.0,0.0016874999999999,8.0,27484.43333333333
31,33,2022-10-02 22:53:44,71212.34545454544,2022-10-02 22:53:44,465,7.75,6.583333333333333,0.0457291666666666,0.5133367346938774,0.9537541666666666,429.0,0.00225,8.0,28214.3
32,34,2022-10-02 22:53:59,72785.25454545453,2022-10-02 22:53:59,480,8.0,6.583333333333334,0.0469104166666666,0.4938163265306122,0.9525979166666668,150.0,0.00725,8.0,28466.1
33,35,2022-10-02 22:54:14,70982.0,2022-10-02 22:54:14,495,8.25,7.181818181818182,0.0463403409090909,0.472913976938293,0.953127840909091,0.0,0.002,8.0,3142.766666666667
34,36,2022-10-02 22:54:29,69149.63636363635,2022-10-02 22:54:29,510,8.5,429.0,0.3655329059829058,0.9146122448979592,0.6167555555555554,1429170.0,17.775199999999998,5.0,151.55
35,37,2022-10-02 22:54:44,67270.0,2022-10-02 22:54:44,525,8.75,660.6,0.2421225641025641,0.9309349339735896,0.6742005128205127,1602181.0,10.991400000000002,5.0,8075.466666666667
36,38,2022-10-02 22:54:59,66022.98181818181,2022-10-02 22:54:59,540,9.0,724.75,0.2033121794871795,0.92781112444978,0.7204647435897438,1630363.0,9.8431,5.0,19504.83333333333
37,39,2022-10-02 22:55:14,64025.41818181818,2022-10-02 22:55:14,555,9.25,658.5454545454545,0.4133200000000001,0.8631510204081634,0.411770909090909,1630363.0,0.7523,5.0,34418.433333333334
38,40,2022-10-02 22:55:29,62026.32727272728,2022-10-02 22:55:29,570,9.5,643.5833333333333,0.2699566666666666,0.6834775510204082,0.5688433333333334,895808.0,0.0251,5.0,42796.216666666674
39,41,2022-10-02 22:55:44,60156.03636363636,2022-10-02 22:55:44,585,9.75,460.0,0.2130333333333333,0.7139547018807524,0.7032799999999999,898456.0,0.0245999999999999,5.0,41407.73333333333
40,42,2022-10-02 22:55:59,58844.74545454545,2022-10-02 22:55:59,600,10.0,286.08333333333337,0.1651733333333333,0.6079510204081633,0.7895600000000002,16978.0,0.0031999999999999,5.0,36858.85
41,43,2022-10-02 22:56:14,60270.92727272726,2022-10-02 22:56:14,615,10.25,149.0,0.1189981818181818,0.5881874527588813,0.8603021212121211,3615.0,0.0015,5.0,5556.0
42,44,2022-10-02 22:56:29,61719.0909090909,2022-10-02 22:56:29,630,10.5,465.33333333333337,0.2739646825396826,0.98,0.6681337301587305,1046748.0,12.9475,2.0,1711.6
43,45,2022-10-02 22:56:44,63163.3090909091,2022-10-02 22:56:44,645,10.75,477.1666666666667,0.2411990476190476,0.9877551020408164,0.6881533333333334,1270404.0,13.93825,2.0,6131.883333333333
44,46,2022-10-02 22:56:59,64104.94545454545,2022-10-02 22:56:59,660,11.0,546.8888888888889,0.2300031746031745,0.998,0.6962555555555555,1563744.0,18.13375,2.0,10280.483333333334
45,47,2022-10-02 22:57:14,61795.34545454544,2022-10-02 22:57:14,675,11.25,502.9166666666667,0.5528166666666668,0.974,0.2381166666666666,1690728.0,19.84375,2.0,15702.416666666668
46,48,2022-10-02 22:57:29,59554.78181818181,2022-10-02 22:57:29,690,11.5,549.3333333333334,0.4941249999999998,0.990078431372549,0.308575,1649904.0,17.1585,2.0,21230.533333333333
47,49,2022-10-02 22:57:44,57229.63636363636,2022-10-02 22:57:44,705,11.75,539.9166666666666,0.4965166666666666,0.998,0.344775,1735248.0,22.112,2.0,23734.83333333333
48,50,2022-10-02 22:57:59,55684.2,2022-10-02 22:57:59,720,12.0,540.4166666666666,0.4951083333333334,0.97,0.3792166666666667,1390536.0,15.901,2.0,27184.63333333333
49,51,2022-10-02 22:58:14,54450.27272727271,2022-10-02 22:58:14,735,12.25,521.25,0.4775083333333333,0.9401176470588236,0.4088583333333333,1464420.0,5.18125,2.0,28787.05
50,52,2022-10-02 22:58:29,53130.58181818182,2022-10-02 22:58:29,750,12.5,543.9166666666667,0.4693083333333334,0.998,0.4152416666666666,1470876.0,17.64875,2.0,29392.25
51,53,2022-10-02 22:58:44,51865.83636363636,2022-10-02 22:58:44,765,12.75,536.5833333333334,0.4583166666666666,0.9725098039215686,0.4285416666666666,1470876.0,13.16975,2.0,30741.983333333334
52,54,2022-10-02 22:58:59,51100.8909090909,2022-10-02 22:58:59,780,13.0,550.3333333333334,0.43440888888888884,0.5805361305361305,0.2846666666666667,1899514.0,22.8945,3.0,14.1
53,55,2022-10-02 22:59:14,52759.09090909091,2022-10-02 22:59:14,795,13.25,620.1666666666666,0.4105011111111111,0.7984848484848485,0.33974,2328152.0,37.634833333333326,3.0,588.0666666666666
54,56,2022-10-02 22:59:29,54392.43636363636,2022-10-02 22:59:29,810,13.5,675.3333333333334,0.38659333333333334,0.8493029211684674,0.3509216666666667,2716376.0,23.9765,3.0,1701.75
55,57,2022-10-02 22:59:44,56019.94545454545,2022-10-02 22:59:44,825,13.75,718.5833333333334,0.36268555555555554,0.8850980392156863,0.3480797979797979,2880784.0,38.985166666666665,3.0,4221.533333333334
56,58,2022-10-02 22:59:59,57049.16363636364,2022-10-02 22:59:59,840,14.0,862.5,0.3387777777777778,0.8706111111111112,0.4356555555555556,2884176.0,36.79133333333333,3.0,8447.0
57,59,2022-10-02 23:00:14,56104.05454545455,2022-10-02 23:00:14,855,14.25,863.25,0.3391833333333333,0.8574400426837402,0.4834166666666666,2998016.0,35.099,3.0,13004.166666666668
58,60,2022-10-02 23:00:29,55097.27272727272,2022-10-02 23:00:29,870,14.5,900.0833333333333,0.3147555555555555,0.8310588235294117,0.5356111111111109,3046600.0,34.61716666666666,3.0,16918.483333333334
59,61,2022-10-02 23:00:44,54154.89090909091,2022-10-02 23:00:44,885,14.75,916.9166666666666,0.3083111111111111,0.8306666666666667,0.5409444444444444,3111960.0,31.689,3.0,20524.733333333334
60,62,2022-10-02 23:00:59,53503.94545454545,2022-10-02 23:00:59,900,15.0,897.8333333333334,0.3091611111111111,0.8177516339869282,0.5430333333333334,3175824.0,14.168333333333337,3.0,23550.766666666663
61,63,2022-10-02 23:01:14,52430.41818181818,2022-10-02 23:01:14,915,15.25,886.3333333333333,0.3017722222222222,0.8973333333333333,0.5518555555555557,3058944.0,45.404,3.0,26269.266666666663
62,64,2022-10-02 23:01:29,51375.29090909091,2022-10-02 23:01:29,930,15.5,863.5833333333334,0.3032333333333333,0.8853333333333333,0.5565000000000001,3059728.0,41.28183333333333,3.0,30661.11666666667
63,65,2022-10-02 23:01:44,50335.98181818181,2022-10-02 23:01:44,945,15.75,818.0833333333334,0.3035555555555556,0.923809523809524,0.5623944444444444,2846416.0,25.736666666666668,3.0,35144.0
64,66,2022-10-02 23:01:59,49716.109090909085,2022-10-02 23:01:59,960,16.0,781.75,0.3084888888888888,0.8948571428571429,0.5598277777777779,2724352.0,20.317833333333336,3.0,38325.3
65,67,2022-10-02 23:02:14,51445.96363636363,2022-10-02 23:02:14,975,16.25,748.25,0.3263777777777777,0.9477124183006536,0.5469,2623736.0,15.324833333333334,3.0,41102.03333333333
66,68,2022-10-02 23:02:29,53251.94545454544,2022-10-02 23:02:29,990,16.5,714.0833333333334,0.3476888888888889,0.9274248366013071,0.5336888888888889,2193192.0,17.861,3.0,42380.95
