,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,3,2022-10-04 22:23:48,25296.62632585185,2022-10-04 22:23:48,0,0.0,0.0,0.0,0.7490456225968649,0.0,0.0,1.8285,8.0,0.0
1,4,2022-10-04 22:24:03,64365.20254,2022-10-04 22:24:03,15,0.25,338.0,0.0,0.952031612645058,0.0897256944444444,2876958.0,20.5715,8.0,6735.116666666666
2,5,2022-10-04 22:24:18,103407.80521515151,2022-10-04 22:24:18,30,0.5,529.4285714285714,0.0,0.7973689475790317,0.1110575396825396,3526317.0,21.67975,8.0,37978.4
3,6,2022-10-04 22:24:33,142654.9970751515,2022-10-04 22:24:33,45,0.75,594.9,0.0,0.9499803921568628,0.1157828703703703,3555006.0,15.675,8.0,89098.61666666667
4,7,2022-10-04 22:24:48,150086.19999999998,2022-10-04 22:24:48,60,1.0,610.0833333333334,0.6098437499999999,0.9471938775510204,0.1679479166666667,3532971.0,3.366875,8.0,153714.08333333334
5,8,2022-10-04 22:25:03,149508.05454545454,2022-10-04 22:25:03,75,1.25,589.9166666666666,0.534296875,0.6415,0.236109375,3372726.0,0.1335,8.0,199114.21666666665
6,9,2022-10-04 22:25:18,148312.92727272728,2022-10-04 22:25:18,90,1.5,521.1999999999999,0.5084494791666667,0.6412556356991701,0.0843326923076923,3612354.5,12.22,16.0,0.0
7,10,2022-10-04 22:25:33,147917.8909090909,2022-10-04 22:25:33,105,1.75,727.5,0.4826020833333333,0.7193086234493797,0.1686004901960784,3851983.0,25.71675,16.0,9269.499999999998
8,11,2022-10-04 22:25:48,146643.7636363636,2022-10-04 22:25:48,120,2.0,822.8571428571429,0.4567546875,0.675577130852341,0.2266839985994398,4174911.0,19.983,16.0,52330.566666666666
9,12,2022-10-04 22:26:03,144673.74545454542,2022-10-04 22:26:03,135,2.25,751.6666666666666,0.43090729166666664,0.8031583633453381,0.2595808243727598,4203373.0,2.838875,16.0,130460.45
10,13,2022-10-04 22:26:18,143066.4909090909,2022-10-04 22:26:18,150,2.5,582.75,0.4050598958333333,0.4216733879722101,0.4166692708333333,3976167.0,0.0174375,16.0,182490.85
11,14,2022-10-04 22:26:33,141535.74545454545,2022-10-04 22:26:33,165,2.75,470.0833333333333,0.2830703125000001,0.4170841711684673,0.5832552083333333,2852235.0,0.0096875,16.0,208921.6833333333
12,15,2022-10-04 22:26:48,142613.52727272725,2022-10-04 22:26:48,180,3.0,233.16666666666663,0.210625,0.418536846653555,0.7412161458333333,2143979.0,0.0778125,16.0,201486.7833333333
13,16,2022-10-04 22:27:03,144562.03944574887,2022-10-04 22:27:03,195,3.25,32.83333333333334,0.1271692708333333,0.4012551020408163,0.8694791666666665,46895.0,0.130125,16.0,160647.51666666666
