,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,5,2022-09-28 18:49:21,1827.9596969696968,2022-09-28 18:49:21,0,0.0,0.0,0.0,0.0320656055853424,0.0,0.0,0.0,0.0,0.0
1,6,2022-09-28 18:49:36,39763.73501969696,2022-09-28 18:49:36,15,0.25,0.0,0.0,0.9744197679071628,0.111375,0.0,9.546625,8.0,44.11666666666667
2,7,2022-09-28 18:49:51,78836.3151621212,2022-09-28 18:49:51,30,0.5,415.2,0.0,0.910529411764706,0.1440674999999999,3480273.0,23.605625,8.0,11129.75
3,8,2022-09-28 18:50:06,117711.92223787878,2022-09-28 18:50:06,45,0.75,590.75,0.0,0.803,0.1573026785714285,4329150.0,28.104750000000003,8.0,38302.85
4,9,2022-09-28 18:50:21,150680.5090909091,2022-09-28 18:50:21,60,1.0,636.090909090909,0.0,0.8883235294117647,0.1608622727272727,4375263.0,21.500875,8.0,89254.83333333333
5,10,2022-09-28 18:50:36,149885.19999999998,2022-09-28 18:50:36,75,1.25,708.0833333333334,0.560984375,0.8923237294917967,0.1958020833333333,4372311.0,9.822625,8.0,151645.4
6,11,2022-09-28 18:50:51,149016.03636363635,2022-09-28 18:50:51,90,1.5,756.4166666666666,0.5283645833333334,0.9105490196078432,0.1994739583333333,4367265.0,3.911875,8.0,196127.55
7,12,2022-09-28 18:51:06,148359.96363636362,2022-09-28 18:51:06,105,1.75,607.4999999999999,0.525171875,0.6402523009203681,0.2539791666666666,2766825.0,0.0295,8.0,217887.4666666667
8,13,2022-09-28 18:51:21,147542.85454545455,2022-09-28 18:51:21,120,2.0,417.6666666666666,0.47575,0.6118750000000001,0.3767395833333334,2066067.0,0.0618749999999999,8.0,203891.5
9,14,2022-09-28 18:51:36,145826.72727272726,2022-09-28 18:51:36,135,2.25,255.75,0.3959375,0.6126650660264106,0.5155416666666667,783696.0,0.0885,8.0,177779.73333333334
10,15,2022-09-28 18:51:51,144234.81818181818,2022-09-28 18:51:51,150,2.5,111.5,0.32859375,0.5636514605842338,0.6473125,84756.0,0.03125,8.0,157343.53333333335
11,16,2022-09-28 18:52:06,142528.2909090909,2022-09-28 18:52:06,165,2.75,6.083333333333333,0.2671145833333333,0.5449081632653061,0.7315572916666665,78771.0,0.051125,8.0,143843.46666666667
12,17,2022-09-28 18:52:21,141318.92727272728,2022-09-28 18:52:21,180,3.0,165.0,0.6923561111111111,0.858004329004329,0.2998524999999999,2113312.0,12.952833333333334,6.0,5800.033333333333
