,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,2,2022-09-30 03:08:59,26118.829255925928,2022-09-30 03:08:59,0,0.0,0.0,1.0,0.8873392997982938,0.0,0.0,1.5803333333333334,8.0,0.0
1,3,2022-09-30 03:09:14,64560.913558484855,2022-09-30 03:09:14,15,0.25,471.25,0.8307857142857142,0.9285728291316526,0.1159563492063491,2786502.0,21.090125,8.0,3802.95
2,4,2022-09-30 03:09:29,103342.71297575756,2022-09-30 03:09:29,30,0.5,637.5714285714286,0.7078072562358277,0.7848115246098439,0.1508956916099773,3875421.0,24.48125,8.0,27943.416666666668
3,5,2022-09-30 03:09:44,142105.21169818184,2022-09-30 03:09:44,45,0.75,658.5,0.6608962962962962,0.8722052821128452,0.1651560846560846,4004937.0,20.530625,8.0,71172.79999999999
4,6,2022-09-30 03:09:59,150272.52727272728,2022-09-30 03:09:59,60,1.0,707.8333333333334,0.5259895833333333,0.9749579831932772,0.2188229166666666,3990411.0,13.3085,8.0,126626.39999999998
5,7,2022-09-30 03:10:14,149600.2,2022-09-30 03:10:14,75,1.25,694.0,0.5162604166666667,0.9425410164065626,0.19840625,3967605.0,0.77575,8.0,189909.55
6,8,2022-09-30 03:10:29,148426.94545454544,2022-09-30 03:10:29,90,1.5,537.7500000000001,0.5129635416666667,0.6306020408163265,0.2735416666666667,3745611.0,0.047,8.0,211423.15
7,9,2022-09-30 03:10:44,147741.47272727272,2022-09-30 03:10:44,105,1.75,343.8333333333333,0.4790520833333334,0.6756209983993597,0.3886197916666666,1888377.0,0.072375,8.0,205218.7
8,10,2022-09-30 03:10:59,146188.23636363636,2022-09-30 03:10:59,120,2.0,178.25000000000003,0.405625,0.5891428571428572,0.5274895833333334,1623894.0,0.06325,8.0,185903.66666666663
9,11,2022-09-30 03:11:14,144508.9090909091,2022-09-30 03:11:14,135,2.25,60.08333333333333,0.291609375,0.5187046568627451,0.6940572916666665,72606.0,0.049875,8.0,154179.4
10,12,2022-09-30 03:11:29,143160.43636363637,2022-09-30 03:11:29,150,2.5,15.750000000000004,0.2382760416666666,0.5235744680851063,0.7589635416666666,69573.0,0.0133749999999999,8.0,144261.48333333334
11,13,2022-09-30 03:11:44,141308.67272727273,2022-09-30 03:11:44,165,2.75,15.750000000000004,0.2112135416666666,0.4942575030012005,0.7863229166666666,58824.0,0.078125,8.0,142582.1
12,14,2022-09-30 03:11:59,142710.59999999998,2022-09-30 03:11:59,180,3.0,3.0000000000000004,0.1945885416666667,0.637795918367347,0.8050989583333334,64224.0,0.0943749999999999,8.0,142638.21666666667
13,15,2022-09-30 03:12:14,144427.09090909088,2022-09-30 03:12:14,195,3.25,1.6666666666666663,0.1913802083333333,0.5057568027210885,0.8084010416666667,65940.0,0.029,8.0,144030.25
14,16,2022-09-30 03:12:29,146171.8,2022-09-30 03:12:29,210,3.5,1.6666666666666663,0.1884166666666666,0.4946249999999999,0.8112708333333333,65688.0,0.009375,8.0,144584.61666666667
15,17,2022-09-30 03:12:44,147935.4909090909,2022-09-30 03:12:44,225,3.75,1.6666666666666663,0.1862968749999999,0.4913979591836734,0.8133906250000001,54534.0,0.094125,8.0,146984.5
16,18,2022-09-30 03:12:59,147588.74545454545,2022-09-30 03:12:59,240,4.0,1.6666666666666663,0.174046875,0.4621048994065711,0.8257395833333333,58794.0,0.026875,8.0,147889.81666666665
17,19,2022-09-30 03:13:14,147083.69090909092,2022-09-30 03:13:14,255,4.25,1.6666666666666663,0.16275,0.4519925331834861,0.8370416666666668,54444.0,0.03525,8.0,147268.83333333334
18,20,2022-09-30 03:13:29,146809.38181818184,2022-09-30 03:13:29,270,4.5,1.6666666666666667,0.1598124999999999,0.4534285714285714,0.8400833333333333,54444.0,0.0783749999999999,8.0,147405.5
19,21,2022-09-30 03:13:44,145910.8727272727,2022-09-30 03:13:44,285,4.75,3.1666666666666665,0.1595364583333333,0.4670271385149804,0.8400104166666666,55875.0,0.024375,8.0,146347.0
20,22,2022-09-30 03:13:59,146359.38181818184,2022-09-30 03:13:59,300,5.0,3.166666666666667,0.1565364583333333,0.465701762523191,0.843015625,56841.0,0.0365,8.0,146071.13333333333
21,23,2022-09-30 03:14:14,146849.38181818184,2022-09-30 03:14:14,315,5.25,3.1666666666666665,0.1614322916666666,0.5254605429590893,0.83821875,53844.0,0.0317499999999999,8.0,147264.8
22,24,2022-09-30 03:14:29,147723.90909090912,2022-09-30 03:14:29,330,5.5,3.1666666666666665,0.1680208333333333,0.5104953231292517,0.8316302083333332,55749.0,0.018,8.0,148031.33333333334
23,25,2022-09-30 03:14:44,148070.4,2022-09-30 03:14:44,345,5.75,0.25,0.1681875,0.4567811550151975,0.831796875,48711.0,0.02825,8.0,147834.6666666667
24,26,2022-09-30 03:14:59,145197.3818181818,2022-09-30 03:14:59,360,6.0,0.25,0.1687552083333333,0.4176864747672118,0.8312291666666668,52896.0,0.01575,8.0,146922.16666666666
25,27,2022-09-30 03:15:14,140549.9818181818,2022-09-30 03:15:14,375,6.25,0.25,0.1541614583333333,0.4400414966171482,0.8458229166666668,52494.0,0.0121249999999999,8.0,141436.7666666667
26,28,2022-09-30 03:15:29,136157.0181818182,2022-09-30 03:15:29,390,6.5,0.25,0.1445520833333333,0.5251710111889345,0.8554322916666667,53949.0,0.00675,8.0,137844.63333333336
