,index,timestamp,input_rate,datetime,seconds,minutes,backpressure,busy_time,CPU_load,idle_time,lag,latency,taskmanager,throughput
0,3,2022-09-30 01:02:55,9764.993734666668,2022-09-30 01:02:55,0,0.0,0.0,0.0,0.6424047388198447,0.0,0.0,0.0,7.0,0.0
1,4,2022-09-30 01:03:10,27432.27944242425,2022-09-30 01:03:10,15,0.25,33.333333333333336,0.0,0.9931187909125914,0.1809301075268816,1031988.0,19.799375,8.0,21.26666666666667
2,5,2022-09-30 01:03:25,45205.289322121214,2022-09-30 01:03:25,30,0.5,450.1666666666666,0.0,0.9601082875457876,0.1756397849462365,1678608.0,21.962062499999995,8.0,2454.0666666666666
3,6,2022-09-30 01:03:40,62958.94586212122,2022-09-30 01:03:40,45,0.75,580.2222222222222,0.0,0.9537416120294272,0.1877670250896057,1840365.0,16.7289375,8.0,9228.883333333331
4,7,2022-09-30 01:03:55,68506.16363636364,2022-09-30 01:03:55,60,1.0,625.75,0.52298125,0.955110594237695,0.3427208333333333,1844049.0,9.954,8.0,23344.233333333334
5,8,2022-09-30 01:04:10,68010.07272727272,2022-09-30 01:04:10,75,1.25,814.3333333333334,0.4108604166666667,0.9498627450980394,0.4248125,1381647.0,1.267,8.0,41186.1
6,9,2022-09-30 01:04:25,67530.63636363635,2022-09-30 01:04:25,90,1.5,725.0833333333334,0.3244979166666668,0.7523265306122449,0.5500333333333334,1381647.0,0.0356875,8.0,49671.01666666667
7,10,2022-09-30 01:04:40,66987.79999999999,2022-09-30 01:04:40,105,1.75,521.1666666666666,0.2350979166666666,0.6563877551020408,0.6867541666666669,389658.0,0.0158749999999999,8.0,50090.13333333333
8,11,2022-09-30 01:04:55,66902.85454545454,2022-09-30 01:04:55,120,2.0,333.08333333333337,0.1682354166666667,0.69881199979992,0.7830291666666667,389964.0,0.0289374999999999,8.0,43474.8
9,12,2022-09-30 01:05:10,66779.76363636363,2022-09-30 01:05:10,135,2.25,152.66666666666669,0.1245229166666666,0.6371153205963237,0.8553604166666667,11106.0,0.015,8.0,32639.83333333333
10,13,2022-09-30 01:05:25,66583.79999999999,2022-09-30 01:05:25,150,2.5,57.333333333333336,0.0967375,0.5255168034605147,0.8945958333333334,12783.0,0.006625,8.0,28655.58333333333
11,14,2022-09-30 01:05:40,66489.16363636364,2022-09-30 01:05:40,165,2.75,42.0,0.0828874999999999,0.4903061224489796,0.9114354166666666,9489.0,0.0041249999999999,8.0,28285.0
12,15,2022-09-30 01:05:55,66641.90909090909,2022-09-30 01:05:55,180,3.0,32.75,0.0667958333333333,0.5142040816326531,0.9288625,10881.0,0.0046875,8.0,26901.85
13,16,2022-09-30 01:06:10,67079.63636363635,2022-09-30 01:06:10,195,3.25,25.666666666666664,0.0565770833333333,0.4734489795918367,0.9412270833333334,3000.0,0.0060625,8.0,26407.38333333333
14,17,2022-09-30 01:06:25,67463.74545454544,2022-09-30 01:06:25,210,3.5,6.75,0.0515833333333333,0.5217212416881647,0.9476645833333334,3000.0,0.00275,8.0,26452.6
15,18,2022-09-30 01:06:40,67893.83636363636,2022-09-30 01:06:40,225,3.75,5.500000000000001,0.0502229166666666,0.4733656462585034,0.9493604166666668,1950.0,0.026625,8.0,26324.33333333333
16,19,2022-09-30 01:06:55,67839.32727272727,2022-09-30 01:06:55,240,4.0,2.333333333333333,0.0505,0.4820306122448979,0.9491770833333334,2367.0,0.0032499999999999,8.0,26442.5
17,20,2022-09-30 01:07:10,67438.2,2022-09-30 01:07:10,255,4.25,3.4166666666666665,0.0490916666666666,0.4663720238095238,0.9505854166666664,615.0,0.0034999999999999,8.0,26421.066666666666
18,21,2022-09-30 01:07:25,66962.2,2022-09-30 01:07:25,270,4.5,3.5,0.0483479166666666,0.4920739795918367,0.9511979166666668,1671.0,0.005625,8.0,26036.38333333333
19,22,2022-09-30 01:07:40,66682.6909090909,2022-09-30 01:07:40,285,4.75,5.833333333333333,0.0476354166666666,0.4742939553480967,0.9517333333333332,1242.0,0.00325,8.0,25771.05
20,23,2022-09-30 01:07:55,66776.63636363635,2022-09-30 01:07:55,300,5.0,6.083333333333333,0.0480166666666666,0.4953637284701114,0.9512437499999998,1977.0,0.0038125,8.0,26323.916666666664
21,24,2022-09-30 01:08:10,67009.32727272727,2022-09-30 01:08:10,315,5.25,15.5,0.0512499999999999,0.5374345482874001,0.94666875,3462.0,0.0036249999999999,8.0,26534.366666666665
22,25,2022-09-30 01:08:25,67346.07272727272,2022-09-30 01:08:25,330,5.5,17.833333333333332,0.0582354166666666,0.5290204081632653,0.9392625,6021.0,0.0045625,8.0,27050.15
23,26,2022-09-30 01:08:40,67675.92727272726,2022-09-30 01:08:40,345,5.75,14.75,0.0591979166666666,0.4834315976390556,0.9383291666666668,3873.0,0.006375,8.0,27501.2
24,27,2022-09-30 01:08:55,67131.70909090909,2022-09-30 01:08:55,360,6.0,15.749999999999996,0.0595791666666666,0.4960793620639745,0.9380333333333334,4368.0,0.0031249999999999,8.0,27374.166666666668
25,28,2022-09-30 01:09:10,66166.34545454544,2022-09-30 01:09:10,375,6.25,8.000000000000002,0.0564062499999999,0.4494639871906209,0.9425479166666666,1629.0,0.0031249999999999,8.0,27073.483333333337
26,29,2022-09-30 01:09:25,65159.96363636363,2022-09-30 01:09:25,390,6.5,7.499999999999999,0.0482874999999999,0.4532902645100593,0.9509729166666668,3720.0,0.004625,8.0,26274.2
27,30,2022-09-30 01:09:40,64154.6,2022-09-30 01:09:40,405,6.75,7.416666666666666,0.0471354166666666,0.4647609398369277,0.9523333333333333,4212.0,0.0051875,8.0,25633.83333333333
28,31,2022-09-30 01:09:55,65278.67272727272,2022-09-30 01:09:55,420,7.0,8.583333333333334,0.0468791666666666,0.520473525580445,0.9524208333333332,4248.0,0.0039375,8.0,25758.68333333333
29,32,2022-09-30 01:10:10,67595.6909090909,2022-09-30 01:10:10,435,7.25,9.000000000000002,0.0482437499999999,0.5077644557823129,0.95065625,1092.0,0.00225,8.0,26548.63333333333
30,33,2022-09-30 01:10:25,70106.94545454545,2022-09-30 01:10:25,450,7.5,11.083333333333334,0.0510479166666666,0.5254628745115068,0.9475729166666664,3150.0,0.0020625,8.0,27604.95
